MacroPlot.Name,Monitoring.Status, Date,TagNo,Species ,Status,Top Kill    (Y/N),DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
_154,PostBurnYear1,2021,107,PIJE,L,N,49.5,15,80,C,10.4,2,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_156,PostBurnYear1,2021,151,QUCH2,L,N,13.95,7,90,I,0.1,1.5,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,152,QUCH2,L,N,26.5,10.2,90,I,0.5,3.5,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,153,QUCH2,L,N,24.9,10.5,90,I,2,3,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,154,PIJE,D,N,11.35,3.4,,,,,1,0,,,,N,N,,,,
_156,PostBurnYear1,2021,155,PIJE,L,N,20.8,10.8,40,I,6.2,1.5,,2.5,,,,N,N,,,,
_156,PostBurnYear1,2021,156,PIJE,L,N,32.8,12,70,C,5.6,1.75,,4,,,,N,N,,,,
_156,PostBurnYear1,2021,157,PIJE,D,N,,,,,,,1,,,,,N,N,,,,
_156,PostBurnYear1,2021,158,PIJE,L,N,26.9,9.7,70,I,2.5,1,,2,,,,N,N,,,,
_156,PostBurnYear1,2021,159,QUKE,D,N,10.3,1.5,,,,,5,1.5,,,,N,N,,,,
_156,PostBurnYear1,2021,160,QUKE,L,N,58.8,9.2,70,C,0.1,4.25,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,161,PIJE,L,N,14.8,8,90,I,2,0.85,,0.4,,,,N,N,,,,
_156,PostBurnYear1,2021,162,PIJE,L,N,20.3,7,80,S,3.8,1.25,,1,,,,N,N,,,,
_156,PostBurnYear1,2021,163,PIJE,L,N,31.5,11.8,90,C,2.1,1.45,,1.4,,,,N,N,,,,
_156,PostBurnYear1,2021,165,PIJE,L,N,13.85,6.2,90,S,1.9,1.2,,0.5,,,,N,N,,,,
_156,PostBurnYear1,2021,166,QUKE,L,N,46.1,6.4,90,I,1.1,3.75,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,167,QUKE,D,N,29.3,2.7,,,,,3,0,,,,N,N,,,,
_156,PostBurnYear1,2021,168,QUKE,L,N,34.55,9,80,S,0.4,2,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,169,QUKE,L,N,55.3,8.4,90,S,2.2,1.5,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,170,QUKE,L,N,47.4,15,90,C,8.6,4.5,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,171,QUKE,L,N,32.1,10.8,80,S,5.4,1.25,,0,,,,N,N,,,,
_156,PostBurnYear1,2021,964,PIJE,L,N,13.9,5.4,90,S,2.1,1,,0,,,,N,N,,,,
_157,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_157,PostBurnYear1,2021,141,PIJE,L,N,47.5,17.8,30,C,13.8,1.75,,7.2,,,,N,N,,,,
_157,PostBurnYear1,2021,142,PIJE,L,N,63.5,20.4,70,C,15,2.5,,5.2,,,,N,N,,,,
_157,PostBurnYear1,2021,146,QUKE,L,N,43.6,5,5,I,5,0.25,,0,,,,N,N,,,,
_157,PostBurnYear1,2021,147,PIJE,L,N,52.7,18.6,80,C,12.8,2.75,,3.1,,,,N,N,,,,
_157,PostBurnYear1,2021,148,PIJE,L,N,60.8,22.2,90,C,12.4,2.38,,6.2,,,,N,N,,,,
_158,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_158,PostBurnYear1,2021,109,PIJE,L,N,51.65,15.2,60,C,11.6,2.5,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,110,QUKE,L,N,116.4,6,40,S,1.8,1.5,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,113,PIJE,L,N,8,4.2,60,S,1.7,0.5,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,114,PIJE,L,N,49.3,16.2,80,C,8.4,2.25,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,116,PIJE,L,N,36.6,18.2,80,C,10.2,1.6,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,117,PIJE,L,N,25.55,12.6,30,I,10,1,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,118,QUKE,L,N,65.1,14.6,100,C,2.5,4.5,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,119,QUKE,L,N,70.45,15.6,100,C,0.3,4.25,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,120,PIJE,L,N,14.7,5,90,S,1.5,1.25,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,121,PIJE,L,N,12.4,4.8,70,S,1.8,0.75,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,123,QUKE,L,N,21.4,8.6,100,I,0.5,2.6,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,124,QUKE,L,N,8.45,6.5,100,I,1.5,1.25,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,127,QUKE,L,N,26,8,100,I,0.7,3.25,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,131,PIJE,L,N,42.55,18,90,C,11,1.75,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,133,PIJE,L,N,10.3,5,50,S,2.4,0.8,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,134,PIJE,L,N,63.2,22,100,C,15,2,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,135,PIJE,L,N,42.9,18.6,100,C,12.2,2.1,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,138,PIJE,L,N,12.95,5.8,80,S,0.7,0.95,,0,,,,N,N,,,,
_158,PostBurnYear1,2021,139,PIJE,D,N,14.4,4.5,,,,,2,0,,,,N,N,,,,
_158,PostBurnYear1,2021,140,PIJE,L,N,45,17.4,70,C,11.2,2,,0,,,,N,N,,,,
