MacroPlot.Name,Monitoring.Status, Date,TagNo,Species ,Status,Top Kill    (Y/N),DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
_133,PostBurnYear1,2021,685,QUKE,D,Y,8.25,5.8,,,,,1,2.5,5.8,90,10,N,Y,55,87.5,38,
_133,PostBurnYear1,2021,687,PIJE,L,N,84.55,16.2,20,C,9.2,3.5,,0,0,0,0,N,N,,,,
_133,PostBurnYear1,2021,688,PIJE,L,N,75.65,25,100,C,13,4,,0,0,0,0,N,N,,,,
_134,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_134,PostBurnYear1,2021,740,PIJE,L,N,35.9,19,40,C,13.6,1.35,,7.4,13.4,60,2,N,N,,,,New tag 880
_134,PostBurnYear1,2021,741,QUKE,D,N,,,,,,,5,,,,0,N,N,,,,
_134,PostBurnYear1,2021,743,QUKE,L,N,39.4,12.6,30,C,3.2,2.75,,0.5,0,0,0,Y,Y,30,25,3,
_134,PostBurnYear1,2021,744,QUKE,L,N,38.15,12,20,C,2.9,2.5,,0.3,0,0,0,Y,Y,85,98,34,
_134,PostBurnYear1,2021,745,PIJE,D,N,14.05,4.5,,,,,,4.5,4.5,90,10,N,N,,,,
_134,PostBurnYear1,2021,747,PIJE,L,N,41.55,21.4,40,C,14.6,1,,9.6,14.6,60,1,N,N,,,,
_134,PostBurnYear1,2021,754,PIJE,L,N,57.3,25.6,80,C,17,2.5,,10.4,17,20,0,N,N,,,,
_134,PostBurnYear1,2021,755,PIJE,L,N,46.65,24.4,80,C,18.4,1.75,,8,18.4,20,0,N,N,,,,
_134,PostBurnYear1,2021,756,PIJE,L,N,56.2,26,90,C,17.6,4.5,,7.6,0,0,0,N,N,,,,New tag 881
_134,PostBurnYear1,2021,757,PIJE,L,N,58.4,23,60,C,17.4,4,,7.4,14.6,40,2,N,N,,,,New tag 879
_135,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_135,PostBurnYear1,2021,725,QUKE,L,N,89,21,80,I,2.3,6,,2.2,,,, Y,N,,,,
_135,PostBurnYear1,2021,726,PIJE,L,N,79.3,33.2,90,C,19.2,2.25,,10.6,22,5,,N,N,,,,New Tag 878
_135,PostBurnYear1,2021,730,PIJE,L,N,60.9,27.4,90,C,18.5,2.15,,9.6,,,,N,N,,,,
_135,PostBurnYear1,2021,731,QUKE,D,Y,23.3,11.5,,,,,1,3,,,,N,Y,71,106,3,
_135,PostBurnYear1,2021,732,QUKE,D,N,,,,,,,,,,,,,,,,,
_135,PostBurnYear1,2021,733,QUKE,D,N,11.15,1.6,,,,,5,1.6,,,,N,N,,,,
_137,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_137,PostBurnYear1,2021,701,PIJE,D,N,60.95,14.6,,,,,3,4.4,,,,N,N,,,,
_137,PostBurnYear1,2021,702,PIJE,D,N,43.4,17.6,,,,,2,8.8,,,,N,N,,,,New Tag 970
_137,PostBurnYear1,2021,703,PIJE,D,N,41.15,16.2,,,,,1,5,16.2,100,0,N,N,,,,
_137,PostBurnYear1,2021,704,PIJE,D,N,56.3,20.4,,,,,2,4.8,,,0,N,N,,,,
_137,PostBurnYear1,2021,705,PIJE,L,N,64,20.5,100,C,5.7,3,,0.4,5.6,3,0,N,N,,,,
_137,PostBurnYear1,2021,707,QUKE,L,N,47.1,9.8,60,I,1,1.62,,0,,,0,N,N,,,,
_137,PostBurnYear1,2021,708,QUKE,L,N,43.3,8.6,80,I,0.9,2.5,,0,,,0,N,N,,,,
_138,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_138,PostBurnYear1,2021,781,PIJE,D,N,,,,,,,,,,,,,,,,,
_138,PostBurnYear1,2021,782,PIJE,L,N,24.05,7.8,30,I,6.2,0.55,,2.6,6.4,65,5,N,N,,,,
_138,PostBurnYear1,2021,784,QUKE,L,N,146.5,22.6,30,D,4.4,6,,0,0,0,0,Y,N,,,,
_138,PostBurnYear1,2021,785,PIJE,D,N,23.65,6,,,,,1,3,6,100,0,N,N,,,,New Tag 169
_138,PostBurnYear1,2021,786,PIJE,L,N,25.7,8.2,10,I,6.4,1,,4.6,6.4,88,2,N,N,,,,
_138,PostBurnYear1,2021,787,PIJE,L,N,26.75,10,10,I,8,1,,4,8.8,85,5,N,N,,,,
_138,PostBurnYear1,2021,788,PIJE,L,N,25.5,9.6,10,I,8,1.1,,5,9.2,89,1,N,N,,,,
_139,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_139,PostBurnYear1,2021,771,PIJE,L,N,59.9,26.2,90,C,15.5,2.25,,2.6,15.2,10,0,N,N,,,,
_139,PostBurnYear1,2021,772,PIJE,L,N,78.5,27,80,C,24,3.25,,4.8,15,20,0,N,N,,,,
_139,PostBurnYear1,2021,773,QUKE,D,N,,,,,,,,,,,0,N,N,,,,
_139,PostBurnYear1,2021,776,QUKE,L,N,12.6,7.2,70,I,1.4,1.1,,0.35,0,0,0,N,N,,,,
_139,PostBurnYear1,2021,777,PIJE,L,N,47.85,20.8,90,C,12.3,2,,2.4,11.2,10,0,N,N,,,,
_139,PostBurnYear1,2021,778,PIJE,L,N,40.55,20,90,C,14.8,1.75,,2.1,14.5,5,0,N,N,,,,
_140,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_140,PostBurnYear1,2021,514,PIJE,L,N,28.8,12.4,80,I,5,2.1,,1.5,4.2,20,,N,N,,,,
_140,PostBurnYear1,2021,515,PIJE,L,N,12.2,5.6,80,I,0.8,1.5,,0.15,1,2,,N,N,,,,
_140,PostBurnYear1,2021,516,PIJE,L,N,52.5,19,80,C,9.6,2.75,,1.2,0,0,,N,N,,,,
_140,PostBurnYear1,2021,517,PIJE,L,N,11.55,5.5,40,S,2.5,1,,0.5,3.2,30,,N,N,,,,
_140,PostBurnYear1,2021,518,PIJE,L,N,19,9.9,95,I,3.6,1.55,,0.3,1.5,0.5,,N,N,,,,
_140,PostBurnYear1,2021,519,PIJE,L,N,45.6,19,80,C,7.5,2.25,,2.4,7,5,,N,N,,,,
_140,PostBurnYear1,2021,520,PIJE,L,N,19.45,12.4,70,I,6,1.75,,1.4,0,0,,N,N,,,,
_141,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_141,PostBurnYear1,2021,501,PIJE,L,N,29.5,9.6,70,I,4,2,,1.4,4,20,0.5,N,N,,,,
_141,PostBurnYear1,2021,507,PIJE,L,N,33.4,16.2,95,C,5.6,2.5,,1.8,3.2,0.5,,N,N,,,,
_141,PostBurnYear1,2021,508,PIJE,L,N,30.65,15.4,70,I,5.2,2,,2.2,4.4,5,,N,N,,,,
_141,PostBurnYear1,2021,509,PIJE,L,N,41.75,18.8,95,C,6.6,2.7,,1.6,0,0,,N,N,,,,
_141,PostBurnYear1,2021,510,PIJE,L,N,44.4,18.4,90,C,8.4,2.5,,4,6,3,,N,N,,,,
_141,PostBurnYear1,2021,511,QUKE,L,N,93,7.2,40,I,1.6,3.7,,2.6,6.5,30,0.5,N,N,,,,
_141,PostBurnYear1,2021,512,QUKE,D,N,73.7,7.6,,,,,1,6,7.6,100,0.5,N,N,,,,
_141,PostBurnYear1,2021,513,PIJE,L,N,33.2,12.2,50,C,6.6,2,,3.1,5.6,50,0.5,N,N,,,,
_142,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_142,PostBurnYear1,2021,570,QUKE,L,N,8.4,6,80,S,1.3,1.25,,0,2,5,,Y,N,,,,
_142,PostBurnYear1,2021,571,QUKE,D,N,47.6,10.8,,,,,1,2.3,10.8,100,,N,N,,,,
_142,PostBurnYear1,2021,574,PIJE,L,N,17.9,8.2,20,S,6,1.5,,2.2,6.9,80,3,N,N,,,,
_142,PostBurnYear1,2021,575,PIJE,L,N,72.9,27.5,100,C,10,3.5,,4,0,0,,N,N,,,,
_142,PostBurnYear1,2021,576,QUKE,L,N,10,6.4,80,I,1.4,1.6,,0,2.2,20,,Y,N,,,,
_142,PostBurnYear1,2021,577,PIJE,L,N,23.5,11.4,90,I,1.8,1.4,,1.2,3.5,3,,N,N,,,,
_142,PostBurnYear1,2021,582,PIJE,L,N,29.05,8.8,90,S,4.2,2,,2.5,4.2,10,,N,N,,,,
_142,PostBurnYear1,2021,583,PIJE,L,N,56.4,20,100,C,9.5,3.5,,3,8.8,1,,N,N,,,,
_143,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_143,PostBurnYear1,2021,533,QUKE,D,N,,,,,,,,,,,,N,N,,,,
_143,PostBurnYear1,2021,534,PIJE,D,N,,,,,,,,,,,,N,N,,,,
_143,PostBurnYear1,2021,535,QUKE,L,N,46,10.2,50,I,2,2.85,,0,5,15,,N,N,,,,
_143,PostBurnYear1,2021,536,QUKE,L,N,49.9,9.8,70,I,4.5,3.75,,0,6,5,,N,N,,,,
_143,PostBurnYear1,2021,537,PIJE,L,N,40.1,13.8,80,C,5.5,2,,4,6.4,15,,N,N,,,,
_143,PostBurnYear1,2021,538,QUKE,L,N,11.55,6.2,50,I,3.2,0.75,,0,5.7,50,,N,N,,,,
_143,PostBurnYear1,2021,539,QUKE,L,N,12.8,7.8,20,I,4.4,0.45,,0,7,80,,N,N,,,,
_143,PostBurnYear1,2021,540,QUKE,D,Y,6.85,3.8,,,,,1,0,,,,N,N,,,,
_143,PostBurnYear1,2021,541,PIJE,D,N,21.4,9.2,,,,,1,8.2,9.2,100,1,N,N,,,,
_143,PostBurnYear1,2021,543,PIJE,L,N,32,13,60,C,5,2.05,,3.2,4.8,30,,N,N,,,,
_144,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_144,PostBurnYear1,2021,525,PIJE,D,N,26.6,9.4,,,,,1,0,,,,N,N,,,,
_144,PostBurnYear1,2021,526,PIJE,L,N,19.85,6.6,80,I,1.5,1.25,,0.5,2,10,,N,N,,,,
_144,PostBurnYear1,2021,527,QUKE,L,N,38.2,12,100,I,1,0.5,,0,,,,N,N,,,,
_144,PostBurnYear1,2021,528,PIJE,L,N,54.4,18.8,80,C,7.4,3.7,,2.2,,,,N,N,,,,
_144,PostBurnYear1,2021,529,PIJE,L,N,39.95,16.4,95,I,6.8,3.4,,0.3,,,,N,N,,,,
_144,PostBurnYear1,2021,530,PIJE,L,N,69.7,25.4,80,C,13.6,6.8,,0.1,,,,N,N,,,,
_145,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_145,PostBurnYear1,2021,545,PIJE,L,N,61.85,23,100,C,14,3,,3,,,,N,N,,,,
_145,PostBurnYear1,2021,547,QUKE,D,N,,,,,,,,,,,,N,N,,,,Gone
_145,PostBurnYear1,2021,551,PIJE,L,N,77.05,28.4,100,D,13.5,4,,4.4,,,,N,N,,,,
_145,PostBurnYear1,2021,552,PIJE,D,N,,,,,,,,,,,,N,N,,,,Gone
_145,PostBurnYear1,2021,554,PIJE,L,N,43.8,22,90,C,10,1.25,,4.5,,,,N,N,,,,
_145,PostBurnYear1,2021,555,PIJE,L,N,52.85,24,100,C,12,1.75,,4,,,,N,N,,,,
_145,PostBurnYear1,2021,556,PIJE,L,N,60.4,24.8,90,C,11.2,2.5,,4,,,,N,N,,,,
_145,PostBurnYear1,2021,557,PIJE,L,N,17.8,8.6,20,S,7.2,0.9,,3.4,7.2,40,20,N,N,,,,
_145,PostBurnYear1,2021,558,PIJE,D,N,14.55,7.8,,,,,2,2.2,,,,N,N,,,,
_145,PostBurnYear1,2021,562,PIJE,L,N,53.9,23,100,C,15,2.25,,2.2,,,,N,N,,,,
_145,PostBurnYear1,2021,563,PIJE,L,N,20.5,10.2,40,S,6.2,2,,2.4,6,20,15,N,N,,,,
_145,PostBurnYear1,2021,565,QUKE,L,N,8.75,5.8,60,S,2.3,2.05,,0.3,4.5,40,2,Y,Y,37,40,7,
_146,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_146,PostBurnYear1,2021,849,PIJE,L,N,60.1,19.2,100,C,6.5,4.2,,2.4,,,,N,N,,,,
_146,PostBurnYear1,2021,851,PIJE,D,N,17.6,6.5,,,,,2,0,,,,N,N,,,,
_146,PostBurnYear1,2021,854,QUKE,L,N,54,8.2,70,C,1,4.25,,0,,,,N,N,,,,
_146,PostBurnYear1,2021,855,QUKE,L,N,50.6,10.8,90,C,0.4,4.5,,0,,,,N,N,,,,
_146,PostBurnYear1,2021,866,QUKE,L,N,52.5,11.8,100,C,1,6.5,,0,,,,N,N,,,,
_147,PostBurnYear1,2021,,,,,,,,,,,,,,,,,,,,,
_147,PostBurnYear1,2021,863,QUKE,L,N,8.05,6,100,I,1.5,1.6,,0,,,,N,N,,,,
_147,PostBurnYear1,2021,864,QUKE,L,N,8.4,6,100,I,1.2,1.7,,0,,,,N,N,,,,
_147,PostBurnYear1,2021,868,QUKE,L,N,18.65,8.4,100,I,1.4,2.5,,0,,,,N,N,,,,
_147,PostBurnYear1,2021,869,PIJE,L,N,35.1,12.8,90,I,2.3,3,,1.8,2.5,0.5,,N,N,,,,
_147,PostBurnYear1,2021,870,QUKE,L,N,11.4,6.2,80,S,2.2,2.25,,4.7,,,,Y,Y,47,98,33,
_147,PostBurnYear1,2021,871,PIJE,L,N,57.1,20.5,100,C,9.2,4.1,,0,,,,N,N,,,,
