Plot #, Date,Tag #,Species ,Status,Top Kill    (Y/N),DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
179,2022,,,,,,,,,,,,,,,,,,,,,
179,2022,65,PIJE,L,,28.25,9.6,90,I,3.9,2,,2.4,3.8,10,,,,,,,
179,2022,66,QUKE,L,,61.7,10.7,100,I,1.4,4.25,,0,,,,,,,,,
179,2022,67,QUKE,L,,72.75,18.5,80,D,1.7,4.5,,0,,,,,,,,,
179,2022,68,QUKE,D,,,,,,,,,,,,,,,,,,Chopped down. Gone.
179,2022,72,QUKE,L,,40.6,9,100,I,0.1,4.1,,0,,,,,,,,,
179,2022,74,PIJE,L,,41.4,14.9,100,C,5.6,3,,1.9,,,,,,,,,
180,2022,,,,,,,,,,,,,,,,,,,,,
180,2022,2,QUKE,L,,19.8,8,100,C,1.9,2.5,,0.12,,,,,,,,,
180,2022,3,QUKE,L,,11.3,6.5,100,I,1.8,1.5,,0.35,,,,,,,,,
180,2022,4,QUKE,L,,10.15,6.4,100,I,2,1.5,,0,,,,,,,,,
180,2022,6,QUKE,L,,16.5,8.5,100,C,1.8,1.3,,0,,,,,,,,,
180,2022,7,PIJE,L,,12.1,5.7,70,S,4,0.75,,0,4,30,,,,,,,
180,2022,8,QUKE,L,,101.3,6.5,70,C,1.4,6,,0.94,,,,,,,,,
180,2022,9,QUKE,L,,66,10.6,50,C,3,3.25,,0.42,,,,,,,,,
180,2022,11,PIJE,L,,8.9,3.9,80,S,1.5,1.25,,1.04,1.5,20,,,,,,,
180,2022,12,QUKE,L,,13,7.3,100,I,1.7,2.5,,0,,,,,,,,,
180,2022,13,QUKE,L,,8.25,6.5,100,I,1.3,1.75,,0,,,,,,,,,
180,2022,14,QUKE,L,,11.35,7.4,100,I,1.4,2.25,,0,,,,,,,,,
180,2022,15,QUKE,L,,18.2,7.4,100,C,0.5,3.5,,0,,,,,,,,,
180,2022,16,PIJE,D,,42.6,7.6,,,,,2,0,,,,,,,,,
180,2022,17,QUKE,L,,18.2,8.2,100,C,1.9,2.5,,0,,,,,,,,,
180,2022,18,QUKE,L,,8.2,3.3,100,S,1.1,1.5,,0,,,,,,,,,
180,2022,19,QUKE,L,,15.6,6.3,100,I,1.4,1.5,,0,,,,,,,,,
180,2022,20,QUKE,L,,14.85,7.4,100,C,1,1.75,,0,,,,,,,,,
181,2022,,,,,,,,,,,,,,,,,,,,,
181,2022,95,PIJE,D,,16.05,3.4,,,,,1,2.5,3.4,100,,,,,,,
181,2022,96,QUKE,D,,76.95,15.5,,,,,2,0,,,,,,,,,
181,2022,98,PIJE,L,,24.35,12.9,90,C,5.1,1.25,,1.7,6,10,,,,,,,
181,2022,99,PIJE,L,,37.45,12.4,100,C,4.9,1.75,,5,5,5,,,,,,,
181,2022,100,PIJE,L,,27.6,10,80,I,3.5,1.75,,2.7,5.5,20,,,,,,,
181,2022,101,QUKE,L,,11.25,6.2,90,I,1.6,1,,0,,,,,,,,,
181,2022,103,QUKE,L,,15.8,6.4,100,I,2.5,1,,0,,,,,,,,,
181,2022,104,QUKE,L,,12,6,100,I,2.5,1.25,,0,,,,,,,,,
181,2022,105,QUKE,L,,9.35,5.2,100,I,3,1.75,,0,,,,,,,,,
181,2022,106,QUKE,L,,10.8,7.1,100,I,4,1.5,,0,,,,,,,,,
181,2022,107,QUKE,L,,13.25,7.2,100,I,3.5,1,,0,,,,,,,,,
181,2022,108,QUKE,L,,9.8,7,100,I,2,1.25,,0,,,,,,,,,
181,2022,109,PIJE,L,,23.15,9.9,70,C,2.4,1.25,,0.62,4.5,30,,,,,,,
181,2022,110,QUKE,L,,16.1,6.9,100,I,2.1,1.75,,0,,,,,,,,,
181,2022,111,QUKE,L,,44.3,12.9,100,C,0.4,4,,0.54,,,,,,,,,
181,2022,112,QUKE,L,,55.4,13,100,C,1.6,3,,0.5,,,,,,,,,
181,2022,113,QUKE,L,,50.55,7.6,100,I,1.8,2.75,,0,,,,,,,,,
181,2022,114,PIJE,L,,15.1,5.2,90,S,0.1,1.25,,0.55,1.2,5,,,,,,,
181,2022,115,QUKE,L,,45.2,12.2,80,C,4,3.75,,1.3,,,,,,,,,
195,2022,,,,,,,,,,,,,,,,,,,,,
195,2022,131,QUKE,L,,9.8,6.3,100,I,1.7,1.3,,0,,,,,,,,,
195,2022,132,QUKE,L,,11.35,6.3,100,I,2,0.8,,0,,,,,,,,,
195,2022,133,QUKE,L,,10.75,7.1,90,I,3.2,1.8,,0,,,,,,,,,
195,2022,134,QUKE,L,,14.9,8.4,100,C,2.2,2.5,,0,,,,,,,,,
195,2022,135,QUKE,L,,11.6,7.3,100,I,1.6,2,,0,,,,,,,,,
195,2022,136,QUKE,L,,9.35,7.5,100,I,3.5,1.5,,0.3,,,,,,,,,
195,2022,137,QUKE,L,,11.4,6.5,90,I,2.5,2,,0,,,,,,,,,
195,2022,138,QUKE,L,,10.45,6.5,90,C,2.9,2,,0.36,,,,,,,,,
195,2022,140,QUKE,L,,9.7,6,100,S,3,2.25,,0,,,,,,,,,
195,2022,141,QUKE,L,,15.2,6.5,100,C,2,2.5,,0,,,,,,,,,
195,2022,142,QUKE,L,,13.3,6.5,100,C,1.8,2,,0,,,,,,,,,
195,2022,143,QUKE,L,,11.4,6.5,100,C,1.5,1.5,,0,,,,,,,,,
195,2022,144,QUKE,L,,8.35,4.5,90,I,1.4,2,,0,,,,,,,,,
195,2022,145,QUKE,D,,44.5,1.4,,,,,2,1.4,,,,,,,,,
195,2022,146,QUKE,L,,9.6,6.6,90,C,2.1,2,,0,,,,,,,,,
195,2022,147,QUKE,L,,9.6,6.6,90,C,4,1.3,,0,,,,,,,,,
195,2022,149,QUKE,L,,9.8,6.9,100,C,1,2,,0,,,,,,,,,
195,2022,150,QUKE,L,,9.65,6.4,100,C,0.8,2.5,,0,,,,,,,,,
195,2022,151,QUKE,L,,8.35,6.3,100,C,1.8,1.75,,0,,,,,,,,,
