"MacroPlot.Name","Monitoring.Status","Date","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","UV2","SnagPlotSize","BrkPntDia","Species.Symbol","Year","Treatment","Visited","Index","IsVerified","QTR","SubFrac","UV3","MacroPlotSize","FieldTeam","EntryTeam","UV1Desc","UV2Desc","UV3Desc","SaComment","X","treatment_burn","experiment"
"_152","PreBurnYear1","10/14/2020 11:10:08 AM",203,"L",54.25,17.8,80,"C",9.6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIV-SL",2,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_152","PreBurnYear1","10/14/2020 11:10:08 AM",204,"L",20.1,8.6,90,"I",3.6,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARPA-Dead",0,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_152","PreBurnYear1","10/14/2020 11:10:08 AM",205,"L",64.55,15.4,90,"C",7.6,NA,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARPA-Dead",1.8,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_152","PreBurnYear1","10/14/2020 11:10:08 AM",206,"L",64.15,21.4,90,"C",11.6,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEBE-SL",1.7,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_152","PreBurnYear1","10/14/2020 11:10:08 AM",207,"L",49.1,17,90,"C",11.6,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE-TOV",2.1,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_152","PreBurnYear1","10/14/2020 11:10:08 AM",208,"L",50,18.6,90,"C",7.8,NA,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEBE-SL",1.9,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_154","PreBurnYear1","10/14/2020 11:10:08 AM",101,"L",8.05,3.1,100,"I",0.3,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR-SL",1.8,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_154","PreBurnYear1","10/14/2020 11:10:08 AM",102,"L",41.8,17.8,70,"C",10.2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEBE-SL",1.1,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_154","PreBurnYear1","10/14/2020 11:10:08 AM",103,"L",47.15,18.2,90,"C",10.4,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR-SL",1.2,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_154","PreBurnYear1","10/14/2020 11:10:08 AM",104,"L",25.95,10.8,80,"I",4.6,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR-SL",1.3,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_154","PreBurnYear1","10/14/2020 11:10:08 AM",105,"L",9.7,3.8,90,"S",0.4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR-SL",0.2,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_154","PreBurnYear1","10/14/2020 11:10:08 AM",106,"L",90.8,17,80,"C",2.5,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR-SL",1.1,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
