MacroPlot Name, Date,Tag,Species ,Status,Top Kill    (Y/N),DBH,crown ratio,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
_145,2022,558,PIJE,D,,14.55,,,,,,,
_145,2022,562,PIJE,L,,53.8,100,,,,,,
_145,2022,563,PIJE,L,,20.1,50,,,,,,
_145,2022,565,QUKE,L,,9.45,70,,,,,,
_142,2022,,,,,,,,,,,,
_142,2022,570,QUKE,L,,9.7,100,,,,,,
_142,2022,571,QUKE,D,,47.25,,,,,,,
_142,2022,574,PIJE,L,,18,20,,,,,,
_142,2022,575,PIJE,L,,73.3,100,,,,,,
_142,2022,576,QUKE,L,,10.7,100,,,,,,
_142,2022,577,PIJE,L,,23.85,90,,,,,,
_142,2022,582,PIJE,L,,29.3,90,,,,,,
_142,2022,583,PIJE,L,,56.95,100,,,,,,
_143,2022,,,,,,,,,,,,
_143,2022,533,QUKE,D,,,,,,,,,
_143,2022,534,PIJE,D,,,,,,,,,
_143,2022,535,QUKE,L,,45.4,70,,,,,,
_143,2022,536,QUKE,L,,49.9,80,,,,,,
_143,2022,537,PIJE,L,,41.25,80,,,,,,
_143,2022,538,QUKE,L,,12.6,80,,,,,,
_143,2022,539,QUKE,L,,13.2,80,,,,,,
_143,2022,540,QUKE,D,,,,,,,,,Resprout now makes SAPLING height. Recorded in saplings with same tag #. 
_143,2022,541,PIJE,D,,19.3,,,,,,,
_143,2022,543,PIJE,L,,33.35,80,,,,,,
_144,2022,,,,,,,,,,,,
_144,2022,525,PIJE,D,,27.05,,,,,,,
_144,2022,526,PIJE,L,,20.1,100,,,,,,
_144,2022,527,QUKE,L,,39.55,100,,,,,,
_144,2022,528,PIJE,L,,54.5,90,,,,,,
_144,2022,529,PIJE,L,,40.2,90,,,,,,
_144,2022,530,PIJE,L,,69.4,100,,,,,,
_140,2022,,,,,,,,,,,,
_140,2022,514,PIJE,L,,29.3,100,,,,,,
_140,2022,515,PIJE,L,,12.5,80,,,,,,
_140,2022,516,PIJE,L,,52.6,100,,,,,,
_140,2022,517,PIJE,L,,11.7,90,,,,,,
_140,2022,518,PIJE,L,,19.6,90,,,,,,
_140,2022,519,PIJE,L,,46.6,90,,,,,,
_140,2022,520,PIJE,L,,19.85,80,,,,,,
_148,2022,,,,,,,,,,,,
_148,2022,874,QUKE,D,,48.15,,,,,,,
_148,2022,875,QUKE,D,,54.3,,,,,,,
_148,2022,877,QUKE,L,,51.5,70,,,,,,
_148,2022,878,PIJE,L,,37.45,90,,,,,,
_148,2022,879,QUKE,L,,9,100,,,,,,
_148,2022,882,QUKE,L,,8.5,100,,,,,,
_148,2022,883,QUKE,L,,54.1,60,,,,,,
_148,2022,884,PIJE,L,,66.6,70,,,,,,
_148,2022,885,PIJE,L,,19,90,,,,,,
_148,2022,880,QUKE,L,,36.7,90,,,,,,
_149,2022,,,,,,,,,,,,
_149,2022,801,PIJE,L,,38.35,100,,,,,,
_149,2022,802,PIJE,L,,22.45,100,,,,,,
_149,2022,803,QUKE,L,,39.4,70,,,,,,
_149,2022,804,QUKE,L,,35.1,80,,,,,,
_149,2022,805,QUKE,L,,30.35,90,,,,,,
_149,2022,806,PIJE,L,,26.65,90,,,,,,
_149,2022,807,PIJE,L,,14.4,70,,,,,,
_149,2022,808,QUKE,L,,52.4,90,,,,,,
_149,2022,809,PIJE,L,,10.3,50,,,,,,
_149,2022,810,PIJE,L,,29.7,90,,,,,,
_149,2022,811,PIJE,L,,15.55,70,,,,,,
_149,2022,813,PIJE,L,,24.5,80,,,,,,
_149,2022,814,PIJE,L,,23.3,100,,,,,,
_149,2022,815,PIJE,D,,7.65,,,,,,,
_149,2022,816,PIJE,L,,24.8,90,,,,,,
_149,2022,818,PIJE,L,,30.3,90,,,,,,
_149,2022,819,PIJE,L,,24.3,60,,,,,,
_149,2022,820,PIJE,L,,27.15,60,,,,,,
_149,2022,821,PIJE,L,,41.5,80,,,,,,
_149,2022,822,PIJE,L,,68.65,100,,,,,,
_149,2022,823,QUKE,D,,34.7,,,,,,,
_150,2022,,,,,,,,,,,,
_150,2022,837,QUKE,L,,68.25,60,,,,,,
