"MacroPlot.Name","Monitoring.Status","Date","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","UV2","SnagPlotSize","BrkPntDia","Species.Symbol","X"
"_134","PreBurnYear1","8/19/2020 8:44:20 AM",757,"L",59.8,21,80,"C",8.5,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",1.6,5,NA,NA,"PIJE",NA
"_135","PreBurnYear1","8/19/2020 8:44:20 AM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.04,7.6,"",NA
"_135","PreBurnYear1","8/19/2020 8:44:20 AM",725,"L",89.4,18.15,80,"I",2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x_SM",0,2.46,NA,NA,"QUKE",NA
"_135","PreBurnYear1","8/19/2020 8:44:20 AM",726,"L",80.5,32.2,90,"C",18.4,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SYMO_SL",0,2.2,NA,NA,"PIJE",NA
"_135","PreBurnYear1","8/19/2020 8:44:20 AM",730,"L",62.2,30.7,90,"C",18.5,NA,4.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SM",0,0.85,NA,NA,"PIJE",NA
"_135","PreBurnYear1","8/19/2020 8:44:20 AM",731,"L",24.55,11.5,90,"I",1,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRVI_SM",0.4,0.4,NA,NA,"QUKE",NA
"_135","PreBurnYear1","8/19/2020 8:44:20 AM",732,"D",10.8,1.75,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE",NA
"_135","PreBurnYear1","8/19/2020 8:44:20 AM",733,"D",11.9,2.2,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE",NA
"_138","PreBurnYear1","8/19/2020 8:44:20 AM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.04,7.6,"",NA
"_138","PreBurnYear1","8/19/2020 8:44:20 AM",781,"D",36.5,3.6,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PIJE",NA
"_138","PreBurnYear1","8/19/2020 8:44:20 AM",782,"L",24.2,7.6,90,"I",1.3,NA,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",3,0.3,NA,NA,"PIJE",NA
"_138","PreBurnYear1","8/19/2020 8:44:20 AM",784,"L",145.5,20.4,70,"D",0.7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TSE",2.5,0.8,NA,NA,"QUKE",NA
"_138","PreBurnYear1","8/19/2020 8:44:20 AM",785,"L",24.9,6.8,90,"I",0.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TSE",1,0,NA,NA,"PIJE",NA
"_138","PreBurnYear1","8/19/2020 8:44:20 AM",786,"L",25.6,7.6,90,"C",1.8,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SM",1.2,2.1,NA,NA,"PIJE",NA
"_138","PreBurnYear1","8/19/2020 8:44:20 AM",787,"L",26.6,8.6,100,"C",2.2,NA,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TSE",0.2,0.8,NA,NA,"PIJE",NA
"_138","PreBurnYear1","8/19/2020 8:44:20 AM",788,"L",25.5,8.6,100,"C",1.3,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEBE_SM",1,0.5,NA,NA,"PIJE",NA
"_139","PreBurnYear1","8/19/2020 8:44:20 AM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.04,7.6,"",NA
"_139","PreBurnYear1","8/19/2020 8:44:20 AM",771,"L",59.8,25.8,90,"C",13,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SM",0,6,NA,NA,"PIJE",NA
"_139","PreBurnYear1","8/19/2020 8:44:20 AM",772,"L",78.5,25.8,90,"C",16,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRVI_ST",0,3.5,NA,NA,"PIJE",NA
"_139","PreBurnYear1","8/19/2020 8:44:20 AM",773,"D",54.1,2.1,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE",NA
"_139","PreBurnYear1","8/19/2020 8:44:20 AM",776,"L",12.35,8.9,100,"I",0.1,NA,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SM",0.4,4,NA,NA,"QUKE",NA
"_139","PreBurnYear1","8/19/2020 8:44:20 AM",777,"L",47.9,19.6,100,"C",7.8,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR_SM",1,0.5,NA,NA,"PIJE",NA
"_139","PreBurnYear1","8/19/2020 8:44:20 AM",778,"L",40.6,20,90,"C",13.2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR_SL",0.8,0.4,NA,NA,"PIJE",NA
