Plot #,Tag #,Species ,Status,DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Distance to woody indv. (m),Lifeform code for woody neighbor,Distance to CWD (m),Comment
_135,726,PIJE,L,80.5,32.2,90,C,18.4,4.75,,4,,,,0,SYMO_SL,,
_135,730,PIJE,L,62.2,30.7,90,C,18.5,4.88,,1.65,,,,0,ROCA_SM,,
_135,731,QUKE,L,24.55,11.5,90,I,1,2.75,,0,,,,0.4,PRVI_SM,,
_135,732,QUKE,D,10.8,1.75,,,,,5,0,,,,,,,
_135,733,QUKE,D,11.9,2.2,,,,,5,0,,,,,,,
_137,,,,,,,,,,,,,,,,,,
_137,701,PIJE,D,65.7,23,,,,,1,,,,,4.2,x_TOV,,
_137,702,PIJE,D,46.1,17.5,,,,,1,,,,,3.1,x_TOV_DTOV,,
_137,703,PIJE,L,41.9,17.5,90,C,3.5,3.2,,2,,,,1.5,x_DTOV,,
_137,704,PIJE,D,57.2,20,,,,,1,,,,,1.5,x_TOV,,
_137,705,PIJE,L,64.2,21,100,C,8.6,2.9,,2.1,,,,3,x_SM,,
_137,707,QUKE,L,47.3,11,70,I,0.8,2.25,,0,,,,0.8,x_TOV,,
_137,708,QUKE,L,43.1,9,100,I,0.1,3.25,,0,,,,0.8,x_TOV,,
_138,,,,,,,,,,,,,,,,,,
_138,781,PIJE,D,36.5,3.6,,,,,5,0,,,,,,,
_138,782,PIJE,L,24.2,7.6,90,I,1.3,1.45,,0,,,,3,QUKE_TSE,,
_138,784,QUKE,L,145.5,20.4,70,D,0.7,7,,0,,,,2.5,PIJE_TSE,,
_138,785,PIJE,L,24.9,6.8,90,I,0.5,1,,0,,,,1,PIJE_TSE,,
_138,786,PIJE,L,25.6,7.6,90,C,1.8,1.5,,0,,,,1.2,ROCA_SM,,
_138,787,PIJE,L,26.6,8.6,100,C,2.2,1.45,,0,,,,0.2,PIJE_TSE,,
_138,788,PIJE,L,25.5,8.6,100,C,1.3,1.25,,0,,,,1,CEBE_SM,,
_139,,,,,,,,,,,,,,,,,,
_139,771,PIJE,L,59.8,25.8,90,C,13,3,,0.6,,,,0,ROCA_SM,,
_139,772,PIJE,L,78.5,25.8,90,C,16,3.5,,0.4,,,,0,PRVI_ST,,
_139,773,QUKE,D,54.1,2.1,,,,,5,0,,,,,,,
_139,776,QUKE,L,12.35,8.9,100,I,0.1,1.35,,0,,,,0.4,ROCA_SM,,
_139,777,PIJE,L,47.9,19.6,100,C,7.8,2.5,,2,,,,1,ERWR_SM,,
_139,778,PIJE,L,40.6,20,90,C,13.2,3,,1.5,,,,0.8,ERWR_SL,,
_140,,,,,,,,,,,,,,,,,,
_140,514,PIJE,L,28.9,12.6,80,I,4.4,1.75,,0.4,,,,4,PIJE_TOV,,
_140,515,PIJE,L,12.1,5.6,60,S,2,1.15,,0.2,,,,0.6,ERWR_SL,,
_140,516,PIJE,L,52.55,18.8,80,C,9,2.5,,0,,,,0.5,PIJE_TOV,,
_140,517,PIJE,L,11.1,5,60,S,1.9,1,,0.1,,,,0.5,PIJE_TOV,,
_140,518,PIJE,L,18.7,9.2,70,I,4,1.05,,0.2,,,,2,QUKE_TSE,,
_140,519,PIJE,L,44.8,19,80,C,7.2,2.5,,2.2,,,,1,QUKE_TSE,,
_140,520,PIJE,L,19.15,12.4,70,I,4.4,1.5,,0.8,,,,1,QUKE_TSE,,
_141,,,,,,,,,,,,,,,,,,
_141,501,PIJE,L,28.85,9,100,C,2.4,1.5,,1.4,,,,3,QUKE_TSE,,
_141,507,PIJE,L,33,16.8,90,C,6,1.6,,1.6,,,,0.5,QUKE_TSE,,
_141,508,PIJE,L,30.2,15.2,70,C,7,1.25,,2.3,,,,0.7,QUKE_TSE,,
_141,509,PIJE,L,41.15,18.2,70,C,7.2,2.3,,1,,,,2,PIJE_TOV,,
_141,510,PIJE,L,43.95,18.4,90,C,5.4,1.5,,0.5,,,,2.5,PIJE_TOV,,
_141,511,QUKE,L,94,7.4,80,I,1,5,,0,,,,0,QUKE_TOV,,
_141,512,QUKE,L,86.3,15.6,30,I,1.3,1.5,,0,,,,0,QUKE_TOV,,
_141,513,PIJE,L,33.19,11.4,90,C,6,2,,0,,,,0.05,ERCO_SL,,
_142,,,,,,,,,,,,,,,,,,
_142,570,QUKE,L,7.65,5.9,100,S,0.4,1.25,,0,,,,0.4,QUKE_TSA,,
_142,571,QUKE,L,47.9,10.8,90,I,1.4,2,,0,,,,0.5,QUKE_TSA,,
_142,574,PIJE,L,18.05,8,20,S,4.2,1.2,,2,,,,0.2,ROCA_SL,,
_142,575,PIJE,L,72.75,27.4,90,C,12.2,3.25,,4,,,,0.2,ROCA_SL,,
_142,576,QUKE,L,9.6,6.4,100,I,0.6,1.55,,0,,,,0.4,ROCA_SL,,
_142,577,PIJE,L,23.75,11.2,80,I,4.2,1.1,,1,,,,0.8,PIJE_TOV,,
_142,582,PIJE,L,28.9,8.8,80,S,4,1.6,,2,,,,0.3,PIJE_TOV,,
_142,583,PIJE,L,56.05,19.9,90,C,8.8,2.5,,2,,,,0.3,PIJE_TOV,,
_143,,,,,,,,,,,,,,,,,,
_143,533,QUKE,D,53.6,11.2,,,,,2,,,,,,,,
_143,534,PIJE,D,52.85,6.4,,,,,5,,,,,,,,
_143,535,QUKE,L,44.25,10.2,90,I,0.8,3,,0.3,,,,0.4,QUKE_TOV,,
_143,536,QUKE,L,48.65,9.2,80,I,1.8,2.6,,0.2,,,,0.4,QUKE_TOV,,
_143,537,PIJE,L,39.3,13.8,70,C,4.4,1.75,,8.6,,,,0.8,ERWR_SL,,
_143,538,QUKE,L,11.15,6,90,I,0.3,1,,3,,,,1,QUKE_TOV,,
_143,539,QUKE,L,4.6,7.6,90,I,2,1,,3,,,,1,QUKE_TOV,,
_143,540,QUKE,L,6.85,3.8,70,I,0.7,0.75,,3.8,,,,0.4,ERWR_SL,,
_143,541,PIJE,L,22.8,9.2,70,C,1,1.5,,7.2,,,,3,ERWR_SL,,
_143,543,PIJE,L,31.3,13,80,C,3.2,2,,10.3,,,,1.5,QUKE_TSE,,
_144,,,,,,,,,,,,,,,,,,
_144,525,PIJE,D,27,9.4,,,,,1,,,,,5,CEBE_SL,,
_144,526,PIJE,L,20.1,6.2,80,I,1.2,1.25,,0,,,,0,CEBE_ST,,
_144,527,QUKE,L,37.95,9.6,80,C,0.4,4.5,,0,,,,1,CEBE_SM,,
_144,528,PIJE,L,54.1,19.6,90,C,8.8,2.65,,2.2,,,,5.5,PIJE_TOV,,
_144,529,PIJE,L,39.5,16.8,70,C,9.6,2,,0.4,,,,3,QUKE_TSE,,
_144,530,PIJE,L,70.45,25.4,80,D,12.6,3.75,,0.4,,,,4,QUKE_TSE,,
_145,,,,,,,,,,,,,,,,,,
_145,545,PIJE,L,61.9,23.2,90,C,14.8,4,,6,,,,0.2,ROCA_SM,,
_145,547,QUKE,D,114.5,12,,,,,1,,,,,,,,
_145,551,PIJE,L,76.8,27.4,90,D,12.6,4.75,,2,,,,0,ROCA_SM,,
_145,552,PIJE,D,23.9,10,,,,,1,,,,,,,,
_145,554,PIJE,L,43.75,20.5,80,C,10.5,1,,3.2,,,,0.2,ROCA_SL,,
_145,555,PIJE,L,52.95,23.8,70,C,12,3.25,,4,,,,0.5,ROCA_SL,,
_145,556,PIJE,L,60.2,24.6,90,C,10,3.5,,5,,,,0.4,ROCA_SL,,
_145,557,PIJE,L,17.2,7.5,30,S,4.8,0.9,,4,,,,0.7,ROCA_SL,,
_145,558,PIJE,D,14.95,5.6,,,,,1,,,,,,,,
_145,562,PIJE,L,63.75,23,70,C,15,2.5,,6,,,,0.3,PIJE_TOV,,
_145,563,PIJE,L,20.45,10.2,20,S,6.2,1.4,,4,,,,0.3,QUKE_TSA,,
_145,565,QUKE,L,8.5,5.5,100,S,0,1,,0,,,,0.8,QUKE_TSA,,
_146,,,,,,,,,,,,,,,,,,
_146,849,PIJE,L,60,20,100,C,7.2,2.75,,0.5,,,,0.2,PIJE_TOV,,
_146,851,PIJE,D,17.5,6.5,,,,,2,,,,,,,,
_146,854,QUKE,L,54.9,11.2,80,C,1.4,3.1,,0,,,,2,PIJE_TSA,,
_146,855,QUKE,L,50.9,10.2,90,C,1,2.75,,0,,,,2,PIJE_TSA,,
_146,866,QUKE,L,51.8,11.4,100,C,1,5.1,,0.2,,,,0.2,ERCO_SL,,
_147,,,,,,,,,,,,,,,,,,
_147,863,QUKE,L,7.65,6,100,I,1.2,1.25,,0,,,,0.3,ERCO_SL,,
_147,864,QUKE,L,7.95,6.1,100,I,1.1,1.5,,0,,,,0.3,ERCO_SL,,
_147,868,QUKE,L,18.1,8.4,100,I,1,1.75,,0,,,,0.5,ERCO_SL,,
_147,869,PIJE,L,34.89,12.6,80,I,2.1,2,,1.7,,,,0.7,QUKE_TOV,,
_147,870,QUKE,L,12.3,6.2,90,S,1.2,1.25,,0.1,,,,0.7,PIJE_TOV,,
_147,871,PIJE,L,57.1,20.4,100,C,9.6,2.9,,0,,,,0.4,ROCA_SL,,
_147,873,QUKE,L,37.3,10,30,C,1,3,,0,,,,1,ROCA_SL,,
