MacroPlot.Name,Monitoring.Status, Date,TagNo,Species ,Status,Top Kill    (Y/N),DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
_176,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_176,PostBurnYear1,2022,76,QUKE,D,Y,19.35,6.2,,,,,1,0.75,,,,N,Y,103,90,14,
_176,PostBurnYear1,2022,77,QUKE,L,N,63.5,11.2,50,C,0,3.5,,0.64,,,,N,N,,,,
_176,PostBurnYear1,2022,79,PIJE,L,N,30.7,7.9,70,I,1.7,3,,0.8,1.5,2,,N,N,,,,
_176,PostBurnYear1,2022,80,QUKE,L,N,12.8,6.5,100,I,0.2,2,,0.26,,,,Y,Y,21,16,2,
_176,PostBurnYear1,2022,81,QUKE,L,N,12.1,6.6,100,I,1.3,1.5,,0,,,,Y,N,,,,
_176,PostBurnYear1,2022,83,QUKE,L,N,13.7,6.4,100,I,1,2.5,,0.37,,,,Y,N,,,,
_176,PostBurnYear1,2022,84,PIJE,L,N,35.5,14,80,C,5,1.5,,0.63,2.9,10,,N,N,,,,
_177,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_177,PostBurnYear1,2022,85,PIJE,L,N,23.7,7.3,90,S,1.8,1.75,,0.98,2,10,,N,N,,,,
_177,PostBurnYear1,2022,86,QUKE,D,N,95.2,3,,,,,5,3,,,,N,N,,,,
_177,PostBurnYear1,2022,90,QUKE,D,N,,,,,,,,0.23,,,,N,N,,,,Gone.
_177,PostBurnYear1,2022,91,QUKE,L,N,19.8,10.7,100,I,1,2,,1,3,,,N,N,,,,
_177,PostBurnYear1,2022,92,PIJE,L,N,11.25,5,40,S,3,0.5,,0.76,0,60,,N,N,,,,
_177,PostBurnYear1,2022,93,QUKE,L,N,91,15.3,70,C,1.2,5.5,,0.32,0,,,N,N,,,,
_177,PostBurnYear1,2022,94,QUKE,L,N,68.5,13.2,80,C,1,9.5,,0,0,,,N,N,,,,
_179,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_179,PostBurnYear1,2022,65,PIJE,L,N,28.25,9.6,90,I,3.9,2,,2.4,3.8,10,,N,N,,,,
_179,PostBurnYear1,2022,66,QUKE,L,N,61.7,10.7,100,I,1.4,4.25,,0,,,,N,N,,,,
_179,PostBurnYear1,2022,67,QUKE,L,N,72.75,18.5,80,D,1.7,4.5,,0,,,,Y,N,,,,
_179,PostBurnYear1,2022,68,QUKE,D,N,,,,,,,,,,,,N,N,,,,Chopped down. Gone.
_179,PostBurnYear1,2022,72,QUKE,L,N,40.6,9,100,I,0.1,4.1,,0,,,,N,N,,,,
_179,PostBurnYear1,2022,74,PIJE,L,N,41.4,14.9,100,C,5.6,3,,1.9,,,,N,N,,,,
_180,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_180,PostBurnYear1,2022,2,QUKE,L,N,19.8,8,100,C,1.9,2.5,,0.12,,,,N,N,,,,
_180,PostBurnYear1,2022,3,QUKE,L,N,11.3,6.5,100,I,1.8,1.5,,0.35,,,,Y,Y,32,11,1,same resprout as tag# 4
_180,PostBurnYear1,2022,4,QUKE,L,N,10.15,6.4,100,I,2,1.5,,0,,,,Y,Y,32,11,1,same resprout as tag# 3
_180,PostBurnYear1,2022,6,QUKE,L,N,16.5,8.5,100,C,1.8,1.3,,0,,,,N,N,,,,
_180,PostBurnYear1,2022,7,PIJE,L,N,12.1,5.7,70,S,4,0.75,,0,4,30,,N,N,,,,
_180,PostBurnYear1,2022,8,QUKE,L,N,101.3,6.5,70,C,1.4,6,,0.94,,,,N,Y,7,8,1,same resprout as tag#9
_180,PostBurnYear1,2022,9,QUKE,L,N,66,10.6,50,C,3,3.25,,0.42,,,,Y,Y,7,8,1,same resprout as tag# 8
_180,PostBurnYear1,2022,11,PIJE,L,N,8.9,3.9,80,S,1.5,1.25,,1.04,1.5,20,,N,N,,,,
_180,PostBurnYear1,2022,12,QUKE,L,N,13,7.3,100,I,1.7,2.5,,0,,,,N,N,,,,
_180,PostBurnYear1,2022,13,QUKE,L,N,8.25,6.5,100,I,1.3,1.75,,0,,,,Y,N,,,,
_180,PostBurnYear1,2022,14,QUKE,L,N,11.35,7.4,100,I,1.4,2.25,,0,,,,Y,N,,,,
_180,PostBurnYear1,2022,15,QUKE,L,N,18.2,7.4,100,C,0.5,3.5,,0,,,,Y,N,,,,
_180,PostBurnYear1,2022,16,PIJE,D,N,42.6,7.6,,,,,2,0,,,,N,N,,,,
_180,PostBurnYear1,2022,17,QUKE,L,N,18.2,8.2,100,C,1.9,2.5,,0,,,,Y,N,,,,
_180,PostBurnYear1,2022,18,QUKE,L,N,8.2,3.3,100,S,1.1,1.5,,0,,,,Y,N,,,,
_180,PostBurnYear1,2022,19,QUKE,L,N,15.6,6.3,100,I,1.4,1.5,,0,,,,Y,N,,,,
_180,PostBurnYear1,2022,20,QUKE,L,N,14.85,7.4,100,C,1,1.75,,0,,,,,,,,,
_181,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_181,PostBurnYear1,2022,95,PIJE,D,N,16.05,3.4,,,,,1,2.5,3.4,100,,N,N,,,,
_181,PostBurnYear1,2022,96,QUKE,D,N,76.95,15.5,,,,,2,0,,,,N,N,,,,
_181,PostBurnYear1,2022,98,PIJE,L,N,24.35,12.9,90,C,5.1,1.25,,1.7,6,10,,N,N,,,,
_181,PostBurnYear1,2022,99,PIJE,L,N,37.45,12.4,100,C,4.9,1.75,,5,5,5,,N,N,,,,
_181,PostBurnYear1,2022,100,PIJE,L,N,27.6,10,80,I,3.5,1.75,,2.7,5.5,20,,N,N,,,,
