MacroPlot.Name,Monitoring.Status, Date,TagNo,Species ,Status,Top Kill    (Y/N),DBH,crown ratio,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
_137,PostBurnYear2,2022,705,PIJE,L,N,64.2,100,N,N,,,,
_137,PostBurnYear2,2022,707,QUKE,L,N,47.7,40,N,N,,,,
_137,PostBurnYear2,2022,708,QUKE,L,N,43.9,90,N,N,,,,
_138,PostBurnYear2,2022,,,,,,,,,,,,
_138,PostBurnYear2,2022,781,PIJE,D,N,,,N,N,,,,gone
_138,PostBurnYear2,2022,782,PIJE,D,N,23.8,,N,N,,,,
_138,PostBurnYear2,2022,784,QUKE,L,N,145.95,40,Y,N,,,,
_138,PostBurnYear2,2022,785,PIJE,D,N,22.8,,N,N,,,,New Tag 169
_138,PostBurnYear2,2022,786,PIJE,L,N,26,20,N,N,,,,
_138,PostBurnYear2,2022,787,PIJE,L,N,27.2,20,N,N,,,,
_138,PostBurnYear2,2022,788,PIJE,L,N,25.4,20,N,N,,,,
_139,PostBurnYear2,2022,,,,,,,,,,,,
_139,PostBurnYear2,2022,771,PIJE,L,N,60.4,100,N,N,,,,
_139,PostBurnYear2,2022,772,PIJE,L,N,78.7,90,N,N,,,,
_139,PostBurnYear2,2022,773,QUKE,D,N,,,N,N,,,,Gone.
_139,PostBurnYear2,2022,776,QUKE,L,N,13.1,90,Y,Y,160,117,12,
_139,PostBurnYear2,2022,777,PIJE,L,N,48.5,100,N,N,,,,
_139,PostBurnYear2,2022,778,PIJE,L,N,40.8,100,N,N,,,,
_140,PostBurnYear2,2022,,,,,,,,,,,,
_140,PostBurnYear2,2022,514,PIJE,L,N,29.3,100,N,N,,,,
_140,PostBurnYear2,2022,515,PIJE,L,N,12.5,80,N,N,,,,
_140,PostBurnYear2,2022,516,PIJE,L,N,52.6,100,N,N,,,,
_140,PostBurnYear2,2022,517,PIJE,L,N,11.7,90,N,N,,,,
_140,PostBurnYear2,2022,518,PIJE,L,N,19.6,90,N,N,,,,
_140,PostBurnYear2,2022,519,PIJE,L,N,46.6,90,N,N,,,,
_140,PostBurnYear2,2022,520,PIJE,L,N,19.85,80,N,N,,,,
_141,PostBurnYear2,2022,,,,,,,,,,,,
_141,PostBurnYear2,2022,501,PIJE,L,N,30.55,80,N,N,,,,
_141,PostBurnYear2,2022,507,PIJE,L,N,33.8,100,N,N,,,,
_141,PostBurnYear2,2022,508,PIJE,L,N,31.2,80,N,N,,,,
_141,PostBurnYear2,2022,509,PIJE,L,N,42.4,100,N,N,,,,
_141,PostBurnYear2,2022,510,PIJE,L,N,44.95,90,N,N,,,,
_141,PostBurnYear2,2022,511,QUKE,L,N,94,50,N,N,,,,
_141,PostBurnYear2,2022,512,QUKE,D,N,74.85,,N,N,,,,
_141,PostBurnYear2,2022,513,PIJE,L,N,33.05,50,N,N,,,,
_141,PostBurnYear2,2022,503,QUKE,L,N,7.8,,N,N,,,,
_142,PostBurnYear2,2022,,,,,,,,,,,,
_142,PostBurnYear2,2022,570,QUKE,L,N,9.7,100,Y,N,,,,
_142,PostBurnYear2,2022,571,QUKE,D,N,47.25,,N,N,,,,
_142,PostBurnYear2,2022,574,PIJE,L,N,18,20,N,N,,,,
_142,PostBurnYear2,2022,575,PIJE,L,N,73.3,100,N,N,,,,
_142,PostBurnYear2,2022,576,QUKE,L,N,10.7,100,N,N,,,,
_142,PostBurnYear2,2022,577,PIJE,L,N,23.85,90,N,N,,,,
_142,PostBurnYear2,2022,582,PIJE,L,N,29.3,90,N,N,,,,
_142,PostBurnYear2,2022,583,PIJE,L,N,56.95,100,N,N,,,,
_143,PostBurnYear2,2022,,,,,,,,,,,,
_143,PostBurnYear2,2022,533,QUKE,D,N,,,N,N,,,,
_143,PostBurnYear2,2022,534,PIJE,D,N,,,N,N,,,,
_143,PostBurnYear2,2022,535,QUKE,L,N,45.4,70,Y,N,,,,
_143,PostBurnYear2,2022,536,QUKE,L,N,49.9,80,Y,N,,,,
_143,PostBurnYear2,2022,537,PIJE,L,N,41.25,80,N,N,,,,
_143,PostBurnYear2,2022,538,QUKE,L,N,12.6,80,Y,Y,14,12,1,
_143,PostBurnYear2,2022,539,QUKE,L,N,13.2,80,Y,Y,121,NA,1,
_143,PostBurnYear2,2022,540,QUKE,D,N,,,N,N,,,,Resprout now makes SAPLING height. Recorded in saplings with same tag #. 
_143,PostBurnYear2,2022,541,PIJE,D,N,19.3,,N,N,,,,
_143,PostBurnYear2,2022,543,PIJE,L,N,33.35,80,N,N,,,,
_144,PostBurnYear2,2022,,,,,,,,,,,,
_144,PostBurnYear2,2022,525,PIJE,D,N,27.05,,N,N,,,,
_144,PostBurnYear2,2022,526,PIJE,L,N,20.1,100,N,N,,,,
_144,PostBurnYear2,2022,527,QUKE,L,N,39.55,100,N,N,,,,
_144,PostBurnYear2,2022,528,PIJE,L,N,54.5,90,N,N,,,,
_144,PostBurnYear2,2022,529,PIJE,L,N,40.2,90,N,N,,,,
_144,PostBurnYear2,2022,530,PIJE,L,N,69.4,100,N,N,,,,
_145,PostBurnYear2,2022,,,,,,,,,,,,
_145,PostBurnYear2,2022,545,PIJE,L,N,62,100,N,N,,,,
_145,PostBurnYear2,2022,547,QUKE,D,N,,,N,N,,,,Gone
_145,PostBurnYear2,2022,551,PIJE,L,N,77.15,100,N,N,,,,
_145,PostBurnYear2,2022,552,PIJE,D,N,,,N,N,,,,Gone
_145,PostBurnYear2,2022,554,PIJE,L,N,44.05,100,N,N,,,,
_145,PostBurnYear2,2022,555,PIJE,L,N,53.2,100,N,N,,,,
_145,PostBurnYear2,2022,556,PIJE,L,N,60.5,100,N,N,,,,
_145,PostBurnYear2,2022,557,PIJE,L,N,17.55,30,N,N,,,,
_145,PostBurnYear2,2022,558,PIJE,D,N,14.55,,N,N,,,,
_145,PostBurnYear2,2022,562,PIJE,L,N,53.8,100,N,N,,,,
_145,PostBurnYear2,2022,563,PIJE,L,N,20.1,50,N,N,,,,
_145,PostBurnYear2,2022,565,QUKE,L,N,9.45,70,Y,Y,43,51,9,
_146,PostBurnYear2,2022,,,,,,,,,,,,
_146,PostBurnYear2,2022,849,PIJE,L,N,60.8,100,N,N,,,,
_146,PostBurnYear2,2022,851,PIJE,D,N,17.2,,N,N,,,,
_146,PostBurnYear2,2022,854,QUKE,L,N,53.4,70,N,N,,,,
_146,PostBurnYear2,2022,855,QUKE,L,N,50.5,90,N,N,,,,
_146,PostBurnYear2,2022,866,QUKE,L,N,52.75,100,N,N,,,,
_147,PostBurnYear2,2022,,,,,,,,,,,,
_147,PostBurnYear2,2022,863,QUKE,L,N,8.2,100,N,N,,,,
_147,PostBurnYear2,2022,864,QUKE,L,N,8.65,100,N,N,,,,
_147,PostBurnYear2,2022,868,QUKE,L,N,19.05,100,N,N,,,,
_147,PostBurnYear2,2022,869,PIJE,L,N,35.45,100,N,N,,,,
_147,PostBurnYear2,2022,870,QUKE,L,N,11.5,70,Y,Y,59,145,30,
_147,PostBurnYear2,2022,871,PIJE,L,N,57.6,100,N,N,,,,Tag fell off. 
_147,PostBurnYear2,2022,873,QUKE,D,N,36.95,,N,N,,,,
_148,PostBurnYear2,2022,,,,,,,,,,,,
_148,PostBurnYear2,2022,874,QUKE,D,N,48.15,,N,N,,,,
_148,PostBurnYear2,2022,875,QUKE,D,N,54.3,,N,N,,,,
_148,PostBurnYear2,2022,877,QUKE,L,N,51.5,70,N,N,,,,
_148,PostBurnYear2,2022,878,PIJE,L,N,37.45,90,N,N,,,,
_148,PostBurnYear2,2022,879,QUKE,L,N,9,100,N,N,,,,
_148,PostBurnYear2,2022,882,QUKE,L,N,8.5,100,N,N,,,,
_148,PostBurnYear2,2022,883,QUKE,L,N,54.1,60,N,N,,,,
_148,PostBurnYear2,2022,884,PIJE,L,N,66.6,70,N,N,,,,
_148,PostBurnYear2,2022,885,PIJE,L,N,19,90,N,N,,,,
_148,PostBurnYear2,2022,880,QUKE,L,N,36.7,90,N,N,,,,
_149,PostBurnYear2,2022,,,,,,,,,,,,
_149,PostBurnYear2,2022,801,PIJE,L,N,38.35,100,N,N,,,,
_149,PostBurnYear2,2022,802,PIJE,L,N,22.45,100,N,N,,,,
_149,PostBurnYear2,2022,803,QUKE,L,N,39.4,70,Y,N,,,,
_149,PostBurnYear2,2022,804,QUKE,L,N,35.1,80,N,N,,,,
_149,PostBurnYear2,2022,805,QUKE,L,N,30.35,90,Y,N,,,,
_149,PostBurnYear2,2022,806,PIJE,L,N,26.65,90,N,N,,,,
_149,PostBurnYear2,2022,807,PIJE,L,N,14.4,70,N,N,,,,
_149,PostBurnYear2,2022,808,QUKE,L,N,52.4,90,Y,N,,,,
_149,PostBurnYear2,2022,809,PIJE,L,N,10.3,50,N,N,,,,
_149,PostBurnYear2,2022,810,PIJE,L,N,29.7,90,N,N,,,,
_149,PostBurnYear2,2022,811,PIJE,L,N,15.55,70,N,N,,,,
_149,PostBurnYear2,2022,813,PIJE,L,N,24.5,80,N,N,,,,
_149,PostBurnYear2,2022,814,PIJE,L,N,23.3,100,N,N,,,,
_149,PostBurnYear2,2022,815,PIJE,D,N,7.65,,N,N,,,,
_149,PostBurnYear2,2022,816,PIJE,L,N,24.8,90,N,N,,,,
_149,PostBurnYear2,2022,818,PIJE,L,N,30.3,90,N,N,,,,
_149,PostBurnYear2,2022,819,PIJE,L,N,24.3,60,N,N,,,,
_149,PostBurnYear2,2022,820,PIJE,L,N,27.15,60,N,N,,,,
_149,PostBurnYear2,2022,821,PIJE,L,N,41.5,80,N,N,,,,
_149,PostBurnYear2,2022,822,PIJE,L,N,68.65,100,N,N,,,,
_149,PostBurnYear2,2022,823,QUKE,D,N,34.7,,N,N,,,,
_150,PostBurnYear2,2022,,,,,,,,,,,,
_150,PostBurnYear2,2022,837,QUKE,L,N,68.25,60,N,N,,,,
_150,PostBurnYear2,2022,838,QUKE,L,N,49.8,90,N,N,,,,
_150,PostBurnYear2,2022,840,QUKE,L,N,14.4,100,N,N,,,,
_150,PostBurnYear2,2022,842,QUKE,L,N,11.75,100,N,N,,,,
_150,PostBurnYear2,2022,843,QUKE,D,N,,,N,N,,,,
_151,PostBurnYear2,2022,,,,,,,,,,,,
_151,PostBurnYear2,2022,585,QUKE,L,N,28.55,100,Y,N,,,,
_151,PostBurnYear2,2022,587,QUKE,L,N,10.5,100,Y,N,,,,
_151,PostBurnYear2,2022,588,QUKE,L,N,12,100,Y,N,,,,
_151,PostBurnYear2,2022,589,QUKE,L,N,15.9,100,N,N,,,,
_151,PostBurnYear2,2022,591,QUKE,L,N,14.15,100,N,N,,,,
_151,PostBurnYear2,2022,592,QUKE,L,N,8.8,100,N,N,,,,
_151,PostBurnYear2,2022,594,QUKE,L,N,10.85,100,N,N,,,,
_151,PostBurnYear2,2022,595,QUKE,L,N,18,100,N,N,,,,
_152,PostBurnYear2,2022,,,,,,,,,,,,
_152,PostBurnYear2,2022,203,PIJE,L,N,54.75,90,N,N,,,,
_152,PostBurnYear2,2022,204,PIJE,L,N,20.75,90,N,N,,,,
_152,PostBurnYear2,2022,205,PIJE,L,N,64.95,100,N,N,,,,
_152,PostBurnYear2,2022,206,PIJE,L,N,64.55,100,N,N,,,,
_152,PostBurnYear2,2022,207,PIJE,L,N,49.25,100,N,N,,,,
_152,PostBurnYear2,2022,208,PIJE,L,N,50.5,100,N,N,,,,
_153,PostBurnYear2,2022,,,,,,,,,,,,
_153,PostBurnYear2,2022,174,QUKE,D,N,58.9,,N,N,,,,
_153,PostBurnYear2,2022,175,QUKE,D,N,,,N,N,,,,Fallen. 
