MacroPlot Name,Monitoring Status,Date,Index,SizeClDia,Status,Count,AvgHt,AvgCrwnRto,SubFrac,Comment,TagNo,Top Kill (Y/N),Resprout (Y/N),Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Basal Resprout Count,UV2,UV3,MacroPlotSize,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited
_128,PostBurnYear2,9/26/2022 11:08,-2147483645,0.65,D,1,1.8,,1,,654,Y,Y,N,Y,85,70,4,,,,,,,,,,QUKE,
_128,PostBurnYear2,9/26/2022 11:08,-2147483644,0.4,D,1,1.5,,1,,656,Y,Y,N,Y,59,74,1,,,,,,,,,,QUKE,
_128,PostBurnYear2,9/26/2022 11:08,-2147483643,2.8,D,1,3.2,,1,,658,Y,Y,N,Y,97,107,8,,,,,,,,,,QUKE,
_128,PostBurnYear2,9/26/2022 11:08,-2147483642,2,D,1,3,,1,,659,Y,Y,N,Y,110,123,9,,,,,,,,,,QUKE,
_128,PostBurnYear2,9/26/2022 11:08,-2147483641,0,D,1,,,1,Stalk burned,660,Y,Y,N,Y,108,176,10,,,,,,,,,,QUKE,
_128,PostBurnYear2,9/26/2022 11:08,-2147483640,0,D,1,,,1,Stalk burned,661,Y,Y,N,Y,85,80,8,,,,,,,,,,QUKE,
_128,PostBurnYear2,9/26/2022 11:08,-2147483639,4.7,D,1,3,,1,,662,Y,Y,N,Y,129,127,11,,,,,,,,,,QUKE,
_128,PostBurnYear2,9/26/2022 11:08,-2147483638,1.2,D,1,2.1,,1,,665,Y,Y,N,Y,120,105,6,,,,,,,,,,QUKE,
_128,PostBurnYear2,9/26/2022 11:08,-2147483637,0.8,D,1,1.8,,1,,666,Y,Y,N,Y,100,73,5,,,,,,,,,,QUKE,
_128,PostBurnYear2,9/26/2022 11:08,-2147483635,0.5,L,1,1.52,,1,,667,N,Y,N,N,,,,,,,,,,,,,QUKE,
_128,PostBurnYear2,9/26/2022 11:08,-2147483634,0.95,D,1,2.1,,1,,669,Y,Y,N,Y,102,126,6,,,,,,,,,,QUKE,
_129,PostBurnYear2,9/26/2022 11:09,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_129,PostBurnYear2,9/26/2022 11:09,-2147483648,1.4,D,1,2.2,,1,,604,Y,Y,N,Y,80,99,13,,,,,,,,,,QUKE,
_129,PostBurnYear2,9/26/2022 11:09,-2147483647,0.5,D,1,1.5,,1,,607,Y,N,N,Y,84,50,5,,,,,,,,,,QUKE,
_129,PostBurnYear2,9/26/2022 11:09,-2147483646,0.7,D,1,1.65,,1,,611,Y,N,N,Y,70,67,9,,,,,,,,,,QUKE,
_129,PostBurnYear2,9/26/2022 11:09,-2147483645,1.5,D,1,2.4,,1,,613,Y,N,N,Y,74.5,67,8,,,,,,,,,,QUKE,
_129,PostBurnYear2,9/26/2022 11:09,-2147483644,6.9,D,1,5.5,,1,,616,Y,N,N,Y,133,91,9,,,,,,,,,,QUKE,
_129,PostBurnYear2,9/26/2022 11:09,-2147483643,4.7,L,1,4.2,,1,,618,N,N,Y,N,,,,,,,,,,,,,QUKE,
_129,PostBurnYear2,9/26/2022 11:09,-2147483642,1.4,D,1,2,,1,,619,Y,N,N,Y,99,73,4,,,,,,,,,,QUKE,
_129,PostBurnYear2,9/26/2022 11:09,-2147483641,7.6,L,1,4.8,,1,,620,N,N,Y,N,,,,,,,,,,,,,QUKE,
_129,PostBurnYear2,9/26/2022 11:09,-2147483640,0,D,1,,,1,Trunk on ground; can't find where it came from. ,621,N,N,,,,,,,,,,,,,,,QUKE,
_130,PostBurnYear2,9/26/2022 11:09,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_130,PostBurnYear2,9/26/2022 11:09,-2147483648,0.4,D,1,1.45,,1,,639,Y,Y,N,Y,50,49,7,,,,,,,,,,QUKE,
_131,PostBurnYear2,9/26/2022 11:10,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_131,PostBurnYear2,9/26/2022 11:10,-2147483648,0.95,L,1,2,,1,Resprout from dead tree. ,675,N,Y,N,N,,,,,,,,,,,,,QUKE,
_131,PostBurnYear2,9/26/2022 11:10,-2147483647,0.8,L,1,2,,1,Resprout from dead tree. ,680,N,Y,N,N,,,,,,,,,,,,,QUKE,
_131,PostBurnYear2,9/26/2022 11:10,-2147483646,3.4,D,1,2.1,,1,,673,N,N,N,N,,,,,,,,,,,,,QUKE,
_132,PostBurnYear2,9/26/2022 11:11,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_132,PostBurnYear2,9/26/2022 11:11,-2147483648,0.8,L,1,1.6,,1,,633,N,Y,N,N,,,,,,,,,,,,,QUKE,
_132,PostBurnYear2,9/26/2022 11:11,-2147483647,4.8,D,1,2.1,,1,,625,N,N,N,N,,,,,,,,,,,,,PIJE,
_132,PostBurnYear2,9/26/2022 11:11,-2147483646,0,D,1,,,1,,627,N,N,N,N,,,,,,,,,,,,,PIJE,
_132,PostBurnYear2,9/26/2022 11:11,-2147483645,3.25,D,1,1.7,,1,,629,N,N,N,N,,,,,,,,,,,,,PIJE,
_133,PostBurnYear2,9/26/2022 11:12,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_133,PostBurnYear2,9/26/2022 11:12,-2147483648,4.2,D,1,2.9,,1,,686,Y,Y,N,Y,121,165,33,,,,,,,,,,QUKE,
_128,PreBurnYear1,8/19/2020 17:07,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_128,PreBurnYear1,8/19/2020 17:07,-2147483648,0.8,L,1,1.8,,1,CEBE_ST,651,,,,,,,,0,2.3,,,,,,,,QUKE,
_128,PreBurnYear1,8/19/2020 17:07,-2147483647,3.7,L,1,2.7,,1,PIJE_TOV,654,,,,,,,,0.1,4,,,,,,,,QUKE,
_128,PreBurnYear1,8/19/2020 17:07,-2147483646,0.4,L,1,1.4,,1,QUKE_TSE,656,,,,,,,,0.8,2,,,,,,,,QUKE,
_128,PreBurnYear1,8/19/2020 17:07,-2147483645,2.9,L,1,3.2,,1,ROCA_SM,658,,,,,,,,0.1,0,,,,,,,,QUKE,
_128,PreBurnYear1,8/19/2020 17:07,-2147483644,1.9,L,1,3,,1,ROCA_SM,659,,,,,,,,0,0.2,,,,,,,,QUKE,
_128,PreBurnYear1,8/19/2020 17:07,-2147483643,2.1,L,1,2.2,,1,ROCA_SM,660,,,,,,,,0.2,0.1,,,,,,,,QUKE,
_128,PreBurnYear1,8/19/2020 17:07,-2147483642,1.3,L,1,2,,1,ROCA_SL,661,,,,,,,,0.1,0.8,,,,,,,,QUKE,
_128,PreBurnYear1,8/19/2020 17:07,-2147483641,5.2,L,1,4.1,,1,ROCA_ST,662,,,,,,,,0,0.1,,,,,,,,QUKE,
_128,PreBurnYear1,8/19/2020 17:07,-2147483640,1.4,L,1,2.1,,1,QUKE_TSA,665,,,,,,,,0,4,,,,,,,,QUKE,
_128,PreBurnYear1,8/19/2020 17:07,-2147483639,0.8,L,1,1.9,,1,QUKE_TSA,666,,,,,,,,0,3.5,,,,,,,,QUKE,
_128,PreBurnYear1,8/19/2020 17:07,-2147483638,1.4,L,1,2.2,,1,QUKE_TSA,667,,,,,,,,0,4,,,,,,,,QUKE,
_128,PreBurnYear1,8/19/2020 17:07,-2147483637,1,L,1,2,,1,CEBE_ST,668,,,,,,,,1,0,,,,,,,,QUKE,
_129,PreBurnYear1,8/19/2020 17:07,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_129,PreBurnYear1,8/19/2020 17:07,-2147483648,1.4,L,1,2.1,,1,ROCA_SM,604,,,,,,,,0,3,,,,,,,,QUKE,
_129,PreBurnYear1,8/19/2020 17:07,-2147483647,0.4,L,1,1.5,,1,ROCA_SM,607,,,,,,,,0,0.8,,,,,,,,QUKE,
_129,PreBurnYear1,8/19/2020 17:07,-2147483646,0.55,L,1,1.6,,1,ROCA_SM,611,,,,,,,,0,0.1,,,,,,,,QUKE,
_129,PreBurnYear1,8/19/2020 17:07,-2147483645,1.5,L,1,2.2,,1,ROCA_SM,613,,,,,,,,0,1,,,,,,,,QUKE,
_129,PreBurnYear1,8/19/2020 17:07,-2147483644,6.75,L,1,5.25,,1,ROCA_SM,616,,,,,,,,0,0.7,,,,,,,,QUKE,
_129,PreBurnYear1,8/19/2020 17:07,-2147483643,4.4,L,1,3,,1,ROCA_SM,618,,,,,,,,0,0,,,,,,,,QUKE,
_129,PreBurnYear1,8/19/2020 17:07,-2147483642,1.6,L,1,2.5,,1,ROCA_SM,619,,,,,,,,0,0.1,,,,,,,,QUKE,
_129,PreBurnYear1,8/19/2020 17:07,-2147483641,6.8,L,1,3.2,,1,ROCA_SM,620,,,,,,,,0,0,,,,,,,,QUKE,
_129,PreBurnYear1,8/19/2020 17:07,-2147483640,3.6,L,1,2.2,,1,ROCA_SM,621,,,,,,,,0.1,0,,,,,,,,QUKE,
_130,PreBurnYear1,8/19/2020 17:07,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_130,PreBurnYear1,8/19/2020 17:07,-2147483647,0.3,L,1,1.5,,1,CEBE_SM,639,,,,,,,,0,3,,,,,,,,QUKE,
_131,PreBurnYear1,8/19/2020 17:07,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_131,PreBurnYear1,8/19/2020 17:07,-2147483648,2.35,L,1,2.1,,1,ROCA_SM,673,,,,,,,,1.5,3,,,,,,,,QUKE,
_132,PreBurnYear1,8/19/2020 17:07,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_132,PreBurnYear1,8/19/2020 17:07,-2147483648,5.8,L,1,2.7,,1,ERWR_SL,625,,,,,,,,0.05,4,,,,,,,,PIJE,
_132,PreBurnYear1,8/19/2020 17:07,-2147483647,7.2,L,1,4,,1,PIJE_TOV,627,,,,,,,,0.1,4.5,,,,,,,,PIJE,
_132,PreBurnYear1,8/19/2020 17:07,-2147483646,3.5,L,1,2.1,,1,ROCA_SM,629,,,,,,,,0,1.1,,,,,,,,PIJE,
_133,PreBurnYear1,8/19/2020 17:07,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_133,PreBurnYear1,8/19/2020 17:07,-2147483648,4.1,L,1,3.6,,1,ERWR_SL,686,,,,,,,,1,2.3,,,,,,,,QUKE,
