MacroPlot Name,Monitoring Status,Date,Index,SizeClDia,Status,Count,AvgHt,AvgCrwnRto,SubFrac,Comment,TagNo,Top Kill (Y/N),Resprout (Y/N),Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Basal Resprout Count,UV2,UV3,MacroPlotSize,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited
_134,PostBurnYear1,8/30/2021 14:22,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_134,PostBurnYear1,8/30/2021 14:22,-2147483648,0,D,1,,,1,,739,N,,,,,,,,,,,,,,,,QUKE,
_134,PostBurnYear1,8/30/2021 14:22,-2147483646,0,D,1,,,1,,746,N,,,,,,,,,,,,,,,,QUKE,
_134,PostBurnYear1,8/30/2021 14:22,-2147483645,0,D,1,,,1,,748,Y,Y,N,Y,55,65,24,,,,,,,,,,QUKE,
_134,PostBurnYear1,8/30/2021 14:22,-2147483644,0,D,1,,,1,New tag 882,749,Y,Y,N,Y,61,66,21,,,,,,,,,,QUKE,
_134,PostBurnYear1,8/30/2021 14:22,-2147483643,2.5,D,1,2.6,,1,,750,Y,Y,N,Y,88,153,19,,,,,,,,,,QUKE,
_134,PostBurnYear1,8/30/2021 14:22,-2147483642,2.25,D,1,2.7,,1,,751,Y,Y,N,Y,102,108,10,,,,,,,,,,QUKE,
_134,PostBurnYear1,8/30/2021 14:22,-2147483641,0.6,D,1,1.6,,1,New tag 883,752,Y,Y,N,Y,55,54,5,,,,,,,,,,QUKE,
_134,PostBurnYear1,8/30/2021 14:22,-2147483640,3.95,D,1,3.2,,1,,753,Y,Y,N,Y,150,94,7,,,,,,,,,,QUKE,
_134,PostBurnYear1,8/30/2021 14:22,-2147483639,0.5,L,1,1.5,,1,,884,N,Y,N,,,,,,,,,,,,,,QUKE,
_135,PostBurnYear1,8/30/2021 14:22,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_135,PostBurnYear1,8/30/2021 14:22,-2147483648,5.35,D,1,2,,1,,724,N,N,N,N,,,,,,,,,,,,,PIJE,
_135,PostBurnYear1,8/30/2021 14:22,-2147483647,1.75,D,1,2.2,,1,,727,Y,Y,N,Y,90,65,19,,,,,,,,,,QUKE,
_135,PostBurnYear1,8/30/2021 14:22,-2147483646,2.05,D,1,2.3,,1,,728,Y,Y,N,Y,64,120,10,,,,,,,,,,QUKE,
_135,PostBurnYear1,8/30/2021 14:22,-2147483645,1.3,D,1,2.1,,1,,729,Y,Y,N,Y,57,64,9,,,,,,,,,,QUKE,
_136,PostBurnYear1,8/30/2021 14:23,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_136,PostBurnYear1,8/30/2021 14:23,-2147483648,0.2,D,1,1.7,,1,,713,Y,Y,N,Y,97,93,14,,,,,,,,,,QUKE,
_136,PostBurnYear1,8/30/2021 14:23,-2147483647,1,D,1,1.6,,1,,714,Y,Y,N,Y,72,97,7,,,,,,,,,,QUKE,
_136,PostBurnYear1,8/30/2021 14:23,-2147483646,0.5,D,1,1.6,,1,,715,Y,Y,N,Y,105,107,13,,,,,,,,,,QUKE,
_136,PostBurnYear1,8/30/2021 14:23,-2147483645,1.1,D,1,2,,1,,716,Y,Y,N,Y,104.5,78,6,,,,,,,,,,QUKE,
_136,PostBurnYear1,8/30/2021 14:23,-2147483644,1.6,D,1,2.1,,1,,717,Y,Y,N,Y,117,110,13,,,,,,,,,,QUKE,
_136,PostBurnYear1,8/30/2021 14:23,-2147483643,0.8,D,1,1.4,,1,,718,Y,Y,N,Y,101,111,21,,,,,,,,,,QUKE,
_137,PostBurnYear1,8/30/2021 14:23,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_137,PostBurnYear1,8/30/2021 14:23,-2147483648,0.2,D,1,1.47,,1,,706,Y,Y,N,Y,77,99,9,,,,,,,,,,QUKE,
_138,PostBurnYear1,8/30/2021 14:23,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_138,PostBurnYear1,8/30/2021 14:23,-2147483648,1.8,L,1,1.4,,1,,783,N,N,N,N,,,,,,,,,,,,,QUKE,
_139,PostBurnYear1,8/30/2021 14:24,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_139,PostBurnYear1,8/30/2021 14:24,-2147483648,2.05,D,1,2.4,,1,,774,Y,Y,N,Y,114,111,14,,,,,,,,,,QUKE,
