MacroPlot Name,Monitoring Status,Date,Index,SizeClDia,Status,Count,AvgHt,AvgCrwnRto,SubFrac,Comment,TagNo,Top Kill (Y/N),Resprout (Y/N),Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Basal Resprout Count,UV2,UV3,MacroPlotSize,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited
_170,PostBurnYear1,8/25/2022,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to plant,D. to CWD,neighbor,,TRUE
_170,PostBurnYear1,8/25/2022,-2147483648,2.5,D,1,3.9,,1,,971,Y,N,N,Y,70.5,15,4,,,,,,,,,,QUKE,
_170,PostBurnYear1,8/25/2022,-2147483647,5.1,L,1,4.22,,1,,972,N,N,Y,N,,,,,,,,,,,,,QUKE,
_170,PostBurnYear1,8/25/2022,-2147483646,3.7,D,1,3.8,,1,,973,Y,N,N,Y,45.5,75,19,,,,,,,,,,QUKE,
_170,PostBurnYear1,8/25/2022,-2147483645,2.45,D,1,3.5,,1,,974,Y,N,N,Y,52,78,23,,,,,,,,,,QUKE,
_171,PostBurnYear1,8/26/2022,,,,,,,,,,,,,,,,,,,0.04,,,tag,,,,,TRUE
_171,PostBurnYear1,8/26/2022,-2147483648,8.05,L,1,6.1,,1,,54,N,N,N,N,,,,,,,,,,,,,QUKE,
_171,PostBurnYear1,8/26/2022,-2147483647,4.3,L,1,4,,1,,55,N,Y,N,Y,15,8,2,,,,,,,,,,QUKE,
_171,PostBurnYear1,8/26/2022,-2147483646,6.95,L,1,3,,1,,57,N,N,N,N,,,,,,,,,,,,,PIJE,
_171,PostBurnYear1,8/26/2022,-2147483645,4.3,D,1,2.3,,1,,58,N,N,N,N,,,,,,,,,,,,,PIJE,
_171,PostBurnYear1,8/26/2022,-2147483644,0.85,L,1,1.45,,1,,63,N,N,Y,N,,,,,,,,,,,,,QUKE,
_172,PostBurnYear1,8/25/2022,,,,,,,,,,,,,,,,,,,0.04,,,tag,,,,,TRUE
_172,PostBurnYear1,8/25/2022,-2147483648,3.95,L,1,2.1,,1,Resprout from dead Tree #124,124,N,Y,N,N,,,,,,,,,,,,,QUKE,
_172,PostBurnYear1,8/25/2022,-2147483647,0.74,D,1,1.6,,1,,121,Y,N,N,Y,24,22.5,6,,,,,,,,,,QUKE,
_173,PostBurnYear1,8/25/2022,,,,,,,,,,,,,,,,,,,0.04,,,tag,,,,,TRUE
_173,PostBurnYear1,8/25/2022,-2147483648,4.45,D,1,2.13,,1,,24,N,N,N,N,,,,,,,,,,,,,PIJE,
_173,PostBurnYear1,8/25/2022,-2147483647,2.9,D,1,2.4,,1,,38,N,N,N,N,,,,,,,,,,,,,PIJE,
