"MacroPlot.Name","Monitoring.Status","Date","Index","IsVerified","QTR","SubFrac","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","UV2","UV3","MacroPlotSize","SnagPlotSize","BrkPntDia","FieldTeam","EntryTeam","UV1Desc","UV2Desc","UV3Desc","SaComment","Species.Symbol","Visited"
"_129","PostBurnYear1","8/30/2021 2:19:51 PM",-2147483639,"False",NA,1,622,"L",9.5,6.5,90,"I",1.5,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_129","PostBurnYear1","8/30/2021 2:19:51 PM",-2147483638,"False",NA,1,623,"D",79.4,8.4,NA,"",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_129","PostBurnYear1","8/30/2021 2:19:51 PM",-2147483637,"False",NA,1,624,"D",70.7,8.9,NA,"",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_133","PostBurnYear1","8/30/2021 2:21:29 PM",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0.04,0.04,7.6,NA,NA,"D. to Plant","D. to CWD",NA,"neighbor","","True"
"_133","PostBurnYear1","8/30/2021 2:21:29 PM",-2147483648,"False",NA,1,682,"L",68.7,14.8,100,"I",1,NA,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_133","PostBurnYear1","8/30/2021 2:21:29 PM",-2147483647,"False",NA,1,683,"L",38.85,10.4,100,"I",0.5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_133","PostBurnYear1","8/30/2021 2:21:29 PM",-2147483646,"False",NA,1,684,"D",9.85,5.9,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5.9,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_133","PostBurnYear1","8/30/2021 2:21:29 PM",-2147483645,"False",NA,1,685,"D",8.25,5.8,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,5.8,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_133","PostBurnYear1","8/30/2021 2:21:29 PM",-2147483644,"False",NA,1,687,"L",84.55,16.2,20,"C",9.2,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_133","PostBurnYear1","8/30/2021 2:21:29 PM",-2147483643,"False",NA,1,688,"L",75.65,25,100,"C",13,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
