,MacroPlot.Name,Monitoring.Status,Date,TagNo,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,SnagPlotSize,BrkPntDia,Species.Symbol,X,Year,Treatment,Visited,treatment_burn,experiment
17,_133,PreBurnYear1,8/19/20 17:07,683,L,38.5,6.2,90,I,1.2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PIJE_TSE,2,0.2,NA,NA,QUKE,NA,yr1,treat1,NA,post_budbreak,old
18,_133,PreBurnYear1,8/19/20 17:07,684,L,9.7,3.5,100,I,0.2,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE_TOV,0,0.5,NA,NA,QUKE,NA,yr1,treat1,NA,post_budbreak,old
19,_133,PreBurnYear1,8/19/20 17:07,685,L,8.05,3.2,100,I,0.4,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE_TOV,0,0.2,NA,NA,QUKE,NA,yr1,treat1,NA,post_budbreak,old
20,_133,PreBurnYear1,8/19/20 17:07,687,L,84.9,21.4,80,C,12,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ERWR_SL,3,3.2,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
21,_133,PreBurnYear1,8/19/20 17:07,688,L,75.8,23.6,90,C,11.2,NA,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE_TSE,0.4,3,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
22,_130,PreBurnYear1,8/19/20 17:07,637,L,30.4,15.8,60,C,7.2,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ERWI_SL,1.2,2.8,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
23,_130,PreBurnYear1,8/19/20 17:07,638,L,51.2,22.2,90,C,7.6,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE_TSE,0.1,3,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
24,_130,PreBurnYear1,8/19/20 17:07,648,L,45.8,19.6,90,C,7.4,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CEBE_SM,0,3,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
25,_130,PreBurnYear1,8/19/20 17:07,640,L,45.9,20.8,100,C,11.4,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE_TSA,2,3,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
26,_130,PreBurnYear1,8/19/20 17:07,641,L,56.9,24.6,100,C,12.4,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROCA_SL,0.2,1.5,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
27,_130,PreBurnYear1,8/19/20 17:07,642,D,80.3,27,NA,,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROCA_SL,0.3,1,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
28,_130,PreBurnYear1,8/19/20 17:07,643,L,23.2,11.4,80,I,4.2,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROCA_SL,1,3.1,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
