,x1,macro_plot_name,monitoring_status,date_x,tag_no,status_x,dbh_x,ht,crwn_rto,crwn_cl,li_cr_b_ht,crwn_rad,decay_cl,char_ht,scorch_ht,cr_sc_pct,comment_x,uv1,uv2,species_symbol,year,treatment,treatment_burn,experiment,date_y,species,status_y,top_kill_y_n,dbh_y,crown_ratio,epicormic_resprout_y_n,basal_resprout_y_n,basal_resprout_height_cm,basal_resprout_width_cm,resprout_count,comment_y,experiment_resprout
12,12,_154,PreBurn,10/14/2020 11:10,106,L,90.8,17,80,C,2.5,3.5,NA,NA,NA,NA,ERWR-SL,1.1,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,13,_154,PreBurn,10/14/2020 11:10,107,L,49.3,17,80,C,9.8,2.5,NA,NA,NA,NA,ERWR-SL,1.2,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,14,_158,PreBurn,10/14/2020 11:10,109,L,51.8,15.2,80,C,11.6,2.5,NA,0,NA,NA,PIJE-TOV,2,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,15,_158,PreBurn,10/14/2020 11:10,110,L,119,11.2,40,S,1.4,1.4,NA,0,NA,NA,PIJE-TSA,1.5,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,16,_158,PreBurn,10/14/2020 11:10,113,L,7.8,4,60,S,1.7,0.5,NA,0,NA,NA,PIJE-TOV,1.3,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,_158,PreBurn,10/14/2020 11:10,114,L,49.3,16.2,80,C,8.4,2.25,NA,0,NA,NA,PIJE-TSE,0,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,18,_158,PreBurn,10/14/2020 11:10,116,L,36.25,18.2,80,C,10.2,1.5,NA,0,NA,NA,PIJE-TSA,1.2,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,19,_158,PreBurn,10/14/2020 11:10,117,L,25.2,12.6,50,I,10,1.25,NA,0,NA,NA,PIJE-TOV,1.4,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,20,_158,PreBurn,10/14/2020 11:10,118,L,65.4,14.6,90,C,2.5,4.5,NA,0,NA,NA,QUKE-TOV,0,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,21,_158,PreBurn,10/14/2020 11:10,119,L,70.3,15.6,90,C,0.3,4.25,NA,0,NA,NA,QUKE-TOV,0,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,22,_158,PreBurn,10/14/2020 11:10,120,L,14.5,4.8,80,S,1.5,1.25,NA,0,NA,NA,QUKE-TOV,1.7,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,23,_158,PreBurn,10/14/2020 11:10,121,L,12.35,4.8,80,S,1.4,0.75,NA,0,NA,NA,PIJE-TOV,1.4,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,24,_158,PreBurn,10/14/2020 11:10,123,L,20.6,8.6,100,I,2.2,2.6,NA,0,NA,NA,QUKE-TSE,1.1,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,25,_158,PreBurn,10/14/2020 11:10,124,L,7.7,6.5,100,I,1.5,1.25,NA,0,NA,NA,QUKE-TOV,2.5,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,26,_158,PreBurn,10/14/2020 11:10,127,L,25.3,7.8,90,I,0.7,3.25,NA,0,NA,NA,QUKE-TSA,1.1,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,27,_158,PreBurn,10/14/2020 11:10,131,L,42.7,17.8,90,C,11,1.75,NA,0,NA,NA,QUKE-TSA,0.8,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,28,_158,PreBurn,10/14/2020 11:10,133,L,10.2,4.5,70,S,2.4,0.8,NA,0,NA,NA,PIJE-TOV,2.9,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,29,_158,PreBurn,10/14/2020 11:10,134,L,63.2,22,90,C,15,2,NA,0,NA,NA,PIJE-TOV,0.9,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,30,_158,PreBurn,10/14/2020 11:10,135,L,42.9,18.6,90,C,12.2,2.1,NA,0,NA,NA,PIJE-TOV,1.1,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,31,_158,PreBurn,10/14/2020 11:10,138,L,12.85,5.8,60,S,0.7,0.95,NA,0,NA,NA,PIJE-TOV,2.2,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,32,_158,PreBurn,10/14/2020 11:10,139,D,14.3,4.5,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33,_158,PreBurn,10/14/2020 11:10,140,L,43.95,17.4,70,C,11.2,2,NA,0,NA,NA,QUKE-TSE,0.1,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,34,_157,PreBurn,10/14/2020 11:10,141,L,47.2,17,40,C,13.4,2.15,NA,10,NA,NA,QUKE-TSA,3.1,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,35,_157,PreBurn,10/14/2020 11:10,142,L,63.3,22.2,70,C,16,2.5,NA,10.6,NA,NA,QUKE-TSA,0.9,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,36,_157,PreBurn,10/14/2020 11:10,146,L,43.8,9.2,10,I,3.5,0.5,NA,1.4,NA,NA,QUKE-TSA,1.4,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,37,_157,PreBurn,10/14/2020 11:10,147,L,52.8,18.2,70,C,11.2,2.5,NA,3.2,NA,NA,PIJE-TSE,3,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,38,_157,PreBurn,10/14/2020 11:10,148,L,60.8,22.8,80,C,11.2,2.6,NA,5.8,NA,NA,PIJE-TOV,2.5,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,48,_153,PreBurn,10/14/2020 11:10,174,D,59.05,9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,49,_153,PreBurn,10/14/2020 11:10,175,D,40,3.5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,50,_153,PreBurn,10/14/2020 11:10,176,D,52.6,7.8,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,51,_156,PreBurn,10/14/2020 11:10,151,L,13.8,7.4,90,I,1,1.75,NA,0,NA,NA,QUCH-TOV,0,NA,QUCH2,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,52,_156,PreBurn,10/14/2020 11:10,152,L,26.2,10.2,90,I,0.6,3.25,NA,0,NA,NA,QUCH-TOV,0,NA,QUCH2,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,53,_156,PreBurn,10/14/2020 11:10,153,L,24.7,10.2,90,I,1,4,NA,0,NA,NA,QUCH-TOV,0,NA,QUCH2,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,54,_156,PreBurn,10/14/2020 11:10,154,D,10.7,4.7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,55,_156,PreBurn,10/14/2020 11:10,155,L,20.8,NA,60,C,NA,1.5,NA,2.7,NA,NA,QUCH-TSE,0.3,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,56,_156,PreBurn,10/14/2020 11:10,156,L,32.6,12.6,70,C,5,2,NA,3.5,NA,NA,QUKE-TSE,2.3,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,57,_156,PreBurn,10/14/2020 11:10,157,D,22.25,6.8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,58,_156,PreBurn,10/14/2020 11:10,158,L,26.7,9.4,70,I,4.2,1.25,NA,1.4,NA,NA,QUKE-TOV,1,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,59,_156,PreBurn,10/14/2020 11:10,159,D,10,1.47,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,60,_156,PreBurn,10/14/2020 11:10,160,L,58.6,9.6,60,C,0,3.5,NA,0,NA,NA,LOSU-SM,0,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,61,_156,PreBurn,10/14/2020 11:10,161,L,14.55,7.6,90,I,1,1.25,NA,0.5,NA,NA,PIJE-TOV,0.2,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,62,_156,PreBurn,10/14/2020 11:10,162,L,20.3,6.8,80,I,3.4,1.1,NA,1,NA,NA,PIJE-TOV,0.2,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,63,_156,PreBurn,10/14/2020 11:10,163,L,31,11.4,80,C,3.4,1.8,NA,1.3,NA,NA,QUKE-TSE,0.5,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,64,_156,PreBurn,10/14/2020 11:10,165,L,13.8,6.2,70,I,2.6,1.05,NA,0.8,NA,NA,RHAR-SL,0.1,NA,PIJE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,65,_156,PreBurn,10/14/2020 11:10,166,L,46.1,7.6,90,C,1.4,3.65,NA,0,NA,NA,QUKE-DEAD,0,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,66,_156,PreBurn,10/14/2020 11:10,167,D,30.5,2.9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,67,_156,PreBurn,10/14/2020 11:10,168,L,34.5,11.5,90,I,2.8,2.45,NA,0,NA,NA,QUKE-TOV,0,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,68,_156,PreBurn,10/14/2020 11:10,169,L,53.1,9.1,90,I,5.8,1.6,NA,0,NA,NA,QUKE-TOV,0,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,69,_156,PreBurn,10/14/2020 11:10,170,L,47.3,15.8,90,C,7.4,4.5,NA,0,NA,NA,QUKE-TOV,0,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,70,_156,PreBurn,10/14/2020 11:10,171,L,32.4,10.4,80,I,6,2.25,NA,0,NA,NA,QUKE-TOV,0,NA,QUKE,controls,treat,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,1002,_150,PreBurn,9/17/2020 9:00,837,L,66.6,16.6,70,D,1,4,NA,0,NA,NA,ERCO_SL,0,1.6,QUKE,yr1,treat4,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,1003,_150,PreBurn,9/17/2020 9:00,838,L,48,11.4,90,D,1.4,4,NA,0,NA,NA,ERCO_SL,0,1.6,QUKE,yr1,treat4,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,1004,_150,PreBurn,9/17/2020 9:00,840,L,12.5,6.5,90,I,0.5,1,NA,0,NA,NA,QUKE_TSA,0.8,1,QUKE,yr1,treat4,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,1005,_150,PreBurn,9/17/2020 9:00,842,L,10,6,90,O,0.3,0.75,NA,0,NA,NA,ERWR_SL,0.3,3,QUKE,yr1,treat4,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,1006,_150,PreBurn,9/17/2020 9:00,843,D,64.45,17.4,90,NA,NA,NA,1,2.5,NA,NA,NA,NA,NA,QUKE,yr1,treat4,control,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,227,_129,PreBurn,8/19/2020 17:07,605,L,54.7,24.8,90,C,8.8,2.25,NA,0.5,NA,NA,ERWR_SM,1,3.4,PIJE,yr1,treat1,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,228,_129,PreBurn,8/19/2020 17:07,606,L,16.7,6.5,90,I,2.3,1.35,NA,0,NA,NA,ROCA_SM,2.2,3,PIJE,yr1,treat1,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,229,_129,PreBurn,8/19/2020 17:07,608,L,47.2,24,90,C,15.8,2.38,NA,0,NA,NA,ERWR_SL,2.1,5.5,PIJE,yr1,treat1,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,230,_129,PreBurn,8/19/2020 17:07,609,L,52.4,26.6,100,C,10.6,3,NA,0.5,NA,NA,ROCA_SM,0,2,PIJE,yr1,treat1,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,231,_129,PreBurn,8/19/2020 17:07,610,L,81.9,22.6,80,I,1.4,4.25,NA,0.3,NA,NA,ROCA_SM,0,0.4,QUKE,yr1,treat1,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,232,_129,PreBurn,8/19/2020 17:07,612,L,67.55,27.4,90,C,15.2,4.5,NA,0.1,NA,NA,ROCA_SM,0,1,PIJE,yr1,treat1,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,233,_129,PreBurn,8/19/2020 17:07,614,L,8,6.5,90,S,2.5,0.75,NA,0,NA,NA,ROCA_SM,0,1,QUKE,yr1,treat1,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,234,_129,PreBurn,8/19/2020 17:07,615,L,7.7,6.2,90,S,3,0.65,NA,0,NA,NA,ROCA_SM,0,0.5,QUKE,yr1,treat1,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,235,_129,PreBurn,8/19/2020 17:07,617,L,57.2,26,90,C,15.4,3,NA,0,NA,NA,ROCA_SM,0,0.2,PIJE,yr1,treat1,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,236,_129,PreBurn,8/19/2020 17:07,622,L,9.45,3.8,100,I,1.2,1.55,NA,0,NA,NA,ROCA_SM,0.1,3.7,QUKE,yr1,treat1,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
