MacroPlot.Name ,Monitoring.Status,TagNo,Species ,Top Kill (Y/N),Resprout (Y/N),Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Basal Resprout Count,Comments
_145,PostBurnYear1,559,QUKE,Y,Y,N,Y,42,43,7,
_145,PostBurnYear1,560,QUKE,Y,Y,N,Y,62,130,17,
_145,PostBurnYear1,561,QUKE,Y,Y,N,Y,80,56,9,
_145,PostBurnYear1,568,QUKE,Y,Y,N,Y,72,67,10,
_145,PostBurnYear1,566,QUKE,Y,Y,N,Y,52,42,5,
_145,PostBurnYear1,567,QUKE,Y,Y,N,Y,82,70,7,
_145,PostBurnYear1,568,QUKE,Y,Y,N,Y,55,47,5,
_146,PostBurnYear1,,,,,,,,,,
_146,PostBurnYear1,847,QUKE,N,Y,N,,,,,
_146,PostBurnYear1,848,QUKE,N,Y,N,,,,,
_146,PostBurnYear1,850,QUKE,N,Y,N,,,,,
_146,PostBurnYear1,852,QUKE,N,Y,N,,,,,
_146,PostBurnYear1,853,PIJE,N,N,N,,,,,
_146,PostBurnYear1,856,QUKE,N,N,N,,,,,
_146,PostBurnYear1,857,QUKE,N,N,N,,,,,
_146,PostBurnYear1,858,QUKE,N,Y,N,,,,,
_146,PostBurnYear1,859,QUKE,N,N,N,,,,,
_146,PostBurnYear1,860,QUKE,N,N,N,,,,,
_146,PostBurnYear1,861,QUKE,N,N,N,,,,,
_146,PostBurnYear1,862,QUKE,Y,Y,N,Y,85,100,16,
_146,PostBurnYear1,863,QUKE,N,N,N,Y,68,51,16,
_146,PostBurnYear1,864,QUKE,N,Y,N,,,,,
_146,PostBurnYear1,865,QUKE,N,Y,N,,,,,
_146,PostBurnYear1,867,QUKE,Y,Y,N,Y,58,135,7,
_147,PostBurnYear1,,,,,,,,,,
_147,PostBurnYear1,860,QUKE,N,N,N,Y,170,85,1,
_147,PostBurnYear1,861,QUKE,N,N,N,Y,12,18,1,
_147,PostBurnYear1,862,QUKE,N,N,N,Y,55,69,3,
_147,PostBurnYear1,865,QUKE,N,N,N,N,,,,
_147,PostBurnYear1,866,QUKE,Y,Y,N,Y,120,87,11,
_147,PostBurnYear1,867,QUKE,N,N,N,N,,,,
_147,PostBurnYear1,872,QUKE,N,N,N,N,,,,
_148,PostBurnYear1,,,,,,,,,,
_148,PostBurnYear1,876,PIJE,N,N,N,N,,,,
_148,PostBurnYear1,881,PIJE,N,N,N,N,,,,
_149,PostBurnYear1,,,,,,,,,,
_149,PostBurnYear1,812,QUKE,Y,Y,N,Y,56,69,17,
_149,PostBurnYear1,817,QUKE,Y,Y,N,Y,99,100,12,
_150,PostBurnYear1,,,,,,,,,,
_150,PostBurnYear1,824,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,825,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,826,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,827,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,828,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,829,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,830,QUKE,N,N,N,N,,,,
_150,PostBurnYear1,831,QUKE,N,N,N,N,,,,
_150,PostBurnYear1,832,QUKE,N,N,N,N,,,,
_150,PostBurnYear1,833,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,834,QUKE,N,N,N,N,,,,
_150,PostBurnYear1,835,QUKE,N,N,N,N,,,,
_150,PostBurnYear1,836,QUKE,N,N,N,N,,,,
_150,PostBurnYear1,839,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,841,QUKE,N,N,N,N,,,,
_150,PostBurnYear1,844,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,845,QUKE,N,Y,N,N,,,,
_150,PostBurnYear1,846,QUKE,N,N,N,N,,,,
_151,PostBurnYear1,,,,,,,,,,
_151,PostBurnYear1,586,PIJE,N,N,N,N,,,,
_151,PostBurnYear1,590,QUKE,N,Y,N,Y,47,69,11,
_151,PostBurnYear1,593,QUKE,N,N,N,N,,,,
_152,PostBurnYear1,,,,,,,,,,
_152,PostBurnYear1,202,QUKE,N,Y,N,N,,,,
_153,PostBurnYear1,,,,,,,,,,
_153,PostBurnYear1,172,QUKE,N,N,N,N,,,,
_153,PostBurnYear1,173,QUKE,N,N,N,N,,,,
_156,PostBurnYear1,,,,,,,,,,
_156,PostBurnYear1,164,QUKE,N,N,N,N,,,,
_157,PostBurnYear1,,,,,,,,,,
_157,PostBurnYear1,143,QUKE,N,Y,N,N,,,,
_157,PostBurnYear1,144,QUKE,N,Y,N,N,,,,
_157,PostBurnYear1,145,QUKE,N,Y,N,N,,,,
_157,PostBurnYear1,149,QUKE,N,Y,N,N,,,,
_157,PostBurnYear1,150,QUKE,N,Y,N,N,,,,
_158,PostBurnYear1,,,,,,,,,,
_158,PostBurnYear1,111,PIJE,N,N,N,N,,,,
_158,PostBurnYear1,112,PIJE,N,N,N,N,,,,
_158,PostBurnYear1,115,PIJE,N,N,N,N,,,,
_158,PostBurnYear1,122,PIJE,N,N,N,N,,,,
_158,PostBurnYear1,125,QUKE,N,N,N,N,,,,
_158,PostBurnYear1,126,QUKE,N,N,N,N,,,,
_158,PostBurnYear1,128,QUKE,N,N,N,N,,,,
_158,PostBurnYear1,129,QUKE,N,N,N,N,,,,
_158,PostBurnYear1,130,QUKE,N,N,N,N,,,,
_158,PostBurnYear1,132,QUKE,N,N,N,N,,,,
_158,PostBurnYear1,137,QUKE,N,N,N,N,,,,
_158,PostBurnYear1,136,PIJE,N,N,N,N,,,,
