plot #,Tag #,Species ,Status,Date,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Distance to woody indv. (m),Lifeform code for woody neighbor,Distance to CWD (m),Comment
_177,91,QUKE,L,2021,10.6,100,I,0.7,2.45,,0,,,,2,SYMO-SM,4,
_177,92,PIJE,L,2021,4.4,100,S,1.8,1,,0,,,,0.4,QUKE-TOV,7,
_177,93,QUKE,L,2021,15,70,C,1.4,7,,0,,,,0.4,PIJE-TOV,7,
_177,94,QUKE,L,2021,13.2,90,C,1.2,6.6,,0,,,,0,SYMO-SL,3,
_179,,,,2021,,,,,,,,,,,,,,
_179,65,PIJE,L,2021,9.4,100,I,2.1,2.5,,0,,,,0,SYMO-SL,1,
_179,66,QUKE,L,2021,10.6,100,I,0.4,3.5,,0,,,,0,QUKE-TOV,0,
_179,67,QUKE,L,2021,18.4,80,D,1,6.1,,0,,,,0,QUKE-TOV,1,
_179,68,QUKE,D,2021,12,,,,,2,5,,,,0,SYMO-SL,1.5,
_179,72,QUKE,L,2021,8.8,100,I,0.5,3.9,,0,,,,3,CEPA-SM,0.5,
_179,74,PIJE,L,2021,14.8,100,C,5.6,2.75,,2.4,,,,1,CEPA-SM,3,
_180,,,,2021,,,,,,,,,,,,,,
_180,2,QUKE,L,2021,8,100,C,1.3,2.9,,0,,,,2.2,QUKE-TOV,2.5,
_180,3,QUKE,L,2021,6.4,100,I,1.4,1.75,,0,,,,0,QUKE-TOV,2.5,
_180,4,QUKE,L,2021,5.8,100,I,1.8,2,,0,,,,0,QUKE-TOV,2.5,
_180,6,QUKE,L,2021,8.5,100,C,2,2.4,,0,,,,0.1,CEPA-SM,1,
_180,7,PIJE,L,2021,5.6,90,S,2,1.25,,0,,,,0.2,QUKE-TOV,1.7,
_180,8,QUKE,L,2021,6.4,80,C,1.1,6.5,,0,,,,0.2,PIJE-TOV,0.5,
_180,9,QUKE,L,2021,10.4,70,C,0.5,5,,0,,,,0.4,PIJE-TOV,0.5,
_180,11,PIJE,L,2021,3.9,90,S,0.9,1,,0.5,,,,0.2,ERWR-SL,1.1,
_180,12,QUKE,L,2021,7.2,100,I,3,2,,0,,,,0.2,ERWR-SL,2,
_180,13,QUKE,L,2021,6,100,I,1,1,,0,,,,0,QUKE-TOV,3.2,
_180,14,QUKE,L,2021,7,100,I,2,1.25,,0,,,,0,QUKE-TOV,3.2,
_180,15,QUKE,L,2021,9,100,C,1.2,3.5,,0,,,,0,QUKE-TOV,3.2,
_180,16,PIJE,D,2021,7.6,,,,,2,5.4,,,,0,CEPA-SM,1.7,
_180,17,QUKE,L,2021,6,100,I,2.1,1.5,,0,,,,0,QUKE-TOV,2,
_180,18,QUKE,L,2021,3,90,S,1.2,0.6,,0,,,,0,QUKE-TOV,2,
_180,19,QUKE,L,2021,6,60,I,1.2,1.75,,0,,,,0,QUKE-TOV,2,
_180,20,QUKE,L,2021,8.2,100,C,3.2,2.25,,0,,,,0,QUKE-TOV,2,
_181,,,,2021,,,,,,,,,,,,,,
_181,95,PIJE,L,2021,3.4,100,S,0.5,1.6,,0,,,,0.2,SYMO-SL,2,
_181,96,QUKE,D,2021,15.6,,,,,1,0,,,,1.5,QUKE-TSE,3,
_181,98,PIJE,L,2021,12.8,100,C,5,1.8,,0,,,,1.2,PIJE-TOV,1.5,
_181,99,PIJE,L,2021,12,100,C,5.1,2,,2.7,,,,1.2,PIJE-TOV,1.5,
_181,100,PIJE,L,2021,9.6,100,I,2.8,1.8,,2.4,,,,1.2,CEBE-ST,2.5,
_181,101,QUKE,L,2021,6.1,100,I,3.2,1.6,,0,,,,0,CEBE-ST,5,
_181,103,QUKE,L,2021,6.3,100,I,2.5,1.5,,0,,,,0.8,QUKE-TOV,2.5,
_181,104,QUKE,L,2021,6,100,I,4.5,1,,0,,,,0.8,QUKE-TOV,2.5,
_181,105,QUKE,L,2021,5.1,100,I,3.5,1.95,,0,,,,0.3,QUKE-TOV,4.5,
_181,106,QUKE,L,2021,7,100,I,5.2,1.2,,0,,,,0.5,QUKE-TOV,3.5,
_181,107,QUKE,L,2021,7.1,100,I,3,1.25,,0,,,,0,QUKE-TOV,4,
_181,108,QUKE,L,2021,7,100,I,2.7,1.25,,0,,,,0,QUKE-TOV,4,
_181,109,PIJE,L,2021,9.8,100,C,2.7,1.9,,0.8,,,,1,QUKE-TOV,4.5,
_181,110,QUKE,L,2021,6.9,100,I,1.5,2.4,,0,,,,0.3,QUKE-TOV,5.2,
_181,111,QUKE,L,2021,12.8,100,C,1,4,,0.3,,,,0,QUKE-TOV,0,
_181,112,QUKE,L,2021,12.9,100,C,1.6,4,,0.3,,,,0,QUKE-TOV,0,
_181,113,QUKE,L,2021,7.4,100,I,1.8,2,,0,,,,0,QUKE-TOV,0,
_181,114,PIJE,L,2021,5.1,90,S,0.5,1.55,,0.3,,,,1.3,QUKE-TOV,2.2,
_181,115,QUKE,L,2021,11.9,90,C,2.1,5,,0,,,,2,PIJE-TSA,0.2,
_190,,,,2021,,,,,,,,,,,,,,
_190,226,QUKE,L,2021,7,90,I,0.2,2,,0,,,,0,QUKE-TOV,1.2,
_190,227,QUKE,L,2021,7.4,90,I,0.2,2.25,,0,,,,0,QUKE-TOV,1.2,
_190,228,QUKE,L,2021,5.4,70,I,0.8,2.2,,0,,,,0,QUKE-TOV,1,
_190,229,QUKE,L,2021,5.5,70,I,0,2,,0,,,,0,QUKE-TOV,1,
_190,230,QUKE,L,2021,4.1,90,I,0.2,1.15,,0,,,,3,QUKE-TOV,3,
_190,231,QUKE,L,2021,6.2,80,C,0.6,1.9,,0,,,,0,QUKE-TOV,1.1,
_190,232,QUKE,L,2021,6.2,80,C,1.4,2,,0,,,,0,QUKE-TOV,1.1,
_190,236,QUKE,L,2021,6.1,60,I,1,1.55,,0,,,,2,CEBE-ST,0.4,
_190,238,QUKE,L,2021,13.6,100,C,0,3.7,,0,,,,5,PIJE-DTOV,1.5,
_191,,,,2021,,,,,,,,,,,,,,
_191,240,QUKE,L,2021,7.9,100,I,0.7,3,,0,,,,0,QUKE-TOV,10,
_191,241,QUKE,L,2021,6,100,I,0.6,2,,0,,,,0,QUKE-TOV,10,
_191,242,QUKE,L,2021,7.3,100,I,2.5,1.75,,0,,,,0,QUKE-TOV,10,
_191,243,QUKE,L,2021,5.9,100,I,0.6,2.2,,0,,,,0,QUKE-TOV,10,
_191,244,QUKE,L,2021,5.9,100,I,1,2.35,,0,,,,0,QUKE-TOV,10,
_191,245,QUKE,L,2021,2.4,100,S,0.9,2,,0,,,,0,QUKE-TOV,10,
_191,246,QUKE,L,2021,9.2,100,C,1,3.5,,0,,,,0,QUKE-TOV,10,
_191,247,QUKE,L,2021,5,100,S,0.2,1.9,,0,,,,0,QUKE-TOV,0.5,
_191,251,QUKE,L,2021,7.2,100,I,0.6,2.2,,0,,,,3,QUKE-TSA,0.8,
_191,252,QUKE,L,2021,5.3,90,I,0.1,1.75,,0,,,,0,QUKE-TOV,10,
_195,,,,2021,,,,,,,,,,,,,,
_195,131,QUKE,L,2021,6.1,100,I,3.6,1.25,,0,,,,0,QUKE-TOV,1.5,
_195,132,QUKE,L,2021,6.2,100,I,1.6,1.6,,0,,,,0,QUKE-TOV,1.5,
_195,133,QUKE,L,2021,6.9,90,I,1.4,1.2,,0,,,,0,QUKE-TOV,2.1,
_195,134,QUKE,L,2021,7.8,90,C,5.5,2.25,,0,,,,0,QUKE-TOV,2.1,
_195,135,QUKE,L,2021,7.2,90,I,1.7,2,,0,,,,0,QUKE-TOV,2.1,
_195,136,QUKE,L,2021,7.4,90,I,4,2,,0,,,,0,QUKE-TOV,2.1,
_195,137,QUKE,L,2021,6.5,60,I,2.5,2,,0,,,,0,QUKE-TOV,2.3,
_195,138,QUKE,L,2021,6.7,80,C,3,1.75,,0,,,,0,QUKE-TOV,2.5,
_195,140,QUKE,L,2021,6.1,70,S,2.8,1.5,,0,,,,0,QUKE-TOV,3,
_195,141,QUKE,L,2021,5.9,70,C,2.2,2.1,,0,,,,0,QUKE-TOV,3.1,
_195,142,QUKE,L,2021,5.9,80,C,2.5,1,,0,,,,0,QUKE-TOV,3.1,
_195,143,QUKE,L,2021,5.9,80,C,1.4,1.75,,0,,,,0,QUKE-TOV,3.5,
_195,144,QUKE,L,2021,5.3,100,I,1.2,2.25,,0,,,,0,QUKE-TOV,3.6,
_195,145,QUKE,L,2021,6.6,60,C,1.4,3.25,,0,,,,0,QUKE-TOV,3.6,
_195,146,QUKE,L,2021,6.2,100,I,2,1.75,,0,,,,0,QUKE-TOV,3.5,
_195,147,QUKE,L,2021,6.5,100,C,2,1.75,,0,,,,0,QUKE-TOV,3.5,
_195,149,QUKE,L,2021,6.9,100,C,1.8,1,,0,,,,0,QUKE-TOV,2,
_195,150,QUKE,L,2021,6.6,100,C,0.8,0.9,,0,,,,0,QUKE-TOV,2,
