"MacroPlot.Name","Monitoring.Status","Date","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","SnagPlotSize","BrkPntDia","Species.Symbol","X"
"_143","PostBurnYear1","8/30/2021 2:10:10 PM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.04,7.6,"",NA
"_143","PostBurnYear1","8/30/2021 2:10:10 PM",533,"D",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",NA
"_143","PostBurnYear1","8/30/2021 2:10:10 PM",534,"D",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",NA
"_143","PostBurnYear1","8/30/2021 2:10:10 PM",535,"L",46,10.2,50,"I",2,NA,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",NA
"_143","PostBurnYear1","8/30/2021 2:10:10 PM",536,"L",49.9,9.8,70,"I",4.5,NA,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",NA
"_143","PostBurnYear1","8/30/2021 2:10:10 PM",537,"L",40.1,13.8,80,"C",5.5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6.4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",NA
"_143","PostBurnYear1","8/30/2021 2:10:10 PM",538,"L",11.55,6.2,50,"I",3.2,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.7,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",NA
"_143","PostBurnYear1","8/30/2021 2:10:10 PM",539,"L",12.8,7.8,20,"I",4.4,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",NA
"_143","PostBurnYear1","8/30/2021 2:10:10 PM",540,"D",6.85,3.8,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",NA
"_143","PostBurnYear1","8/30/2021 2:10:10 PM",541,"D",21.4,9.2,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,9.2,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",NA
"_143","PostBurnYear1","8/30/2021 2:10:10 PM",543,"L",32,13,60,"C",5,NA,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4.8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",NA
"_144","PostBurnYear1","8/30/2021 2:10:37 PM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.04,7.6,"",NA
"_144","PostBurnYear1","8/30/2021 2:10:37 PM",525,"D",26.6,9.4,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",NA
"_144","PostBurnYear1","8/30/2021 2:10:37 PM",526,"L",19.85,6.6,80,"I",1.5,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",NA
"_144","PostBurnYear1","8/30/2021 2:10:37 PM",527,"L",38.2,12,100,"I",1,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",NA
"_144","PostBurnYear1","8/30/2021 2:10:37 PM",528,"L",54.4,18.8,80,"C",7.4,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",NA
"_144","PostBurnYear1","8/30/2021 2:10:37 PM",529,"L",39.95,16.4,95,"I",6.8,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",NA
"_144","PostBurnYear1","8/30/2021 2:10:37 PM",530,"L",69.7,25.4,80,"C",13.6,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",NA
"_140","PostBurnYear1","8/30/2021 2:07:50 PM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.04,7.6,"",NA
"_140","PostBurnYear1","8/30/2021 2:07:50 PM",514,"L",28.8,12.4,80,"I",5,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,4.2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",NA
"_140","PostBurnYear1","8/30/2021 2:07:50 PM",515,"L",12.2,5.6,80,"I",0.8,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",NA
"_140","PostBurnYear1","8/30/2021 2:07:50 PM",516,"L",52.5,19,80,"C",9.6,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",NA
"_140","PostBurnYear1","8/30/2021 2:07:50 PM",517,"L",11.55,5.5,40,"S",2.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3.2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",NA
"_140","PostBurnYear1","8/30/2021 2:07:50 PM",518,"L",19,9.9,95,"I",3.6,NA,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,1.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",NA
"_140","PostBurnYear1","8/30/2021 2:07:50 PM",519,"L",45.6,19,80,"C",7.5,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",NA
"_140","PostBurnYear1","8/30/2021 2:07:50 PM",520,"L",19.45,12.4,70,"I",6,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",NA
