"MacroPlot.Name","Monitoring.Status","Date","Index","IsVerified","QTR","SubFrac","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","UV2","UV3","MacroPlotSize","SnagPlotSize","BrkPntDia","FieldTeam","EntryTeam","UV1Desc","UV2Desc","UV3Desc","SaComment","Species.Symbol","Visited","X"
"_129","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483639,"False",NA,1,622,"L",9.45,3.8,100,"I",1.2,NA,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SM",0.1,3.7,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
"_129","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483638,"False",NA,1,623,"D",79.5,8.4,NA,"",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
"_129","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483637,"False",NA,1,624,"D",71,8.9,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
"_133","PreBurnYear1","8/19/2020 5:07:02 PM",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0.04,0.04,7.6,NA,NA,"D. to Plant","D. to CWD",NA,"neighbor","","True",NA
"_133","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483648,"False",NA,1,682,"L",68.9,13.4,90,"C",0.4,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TSE",2,0.2,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
"_133","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483647,"False",NA,1,683,"L",38.5,6.2,90,"I",1.2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TSE",2,0.2,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
"_133","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483646,"False",NA,1,684,"L",9.7,3.5,100,"I",0.2,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TOV",0,0.5,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
"_133","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483645,"False",NA,1,685,"L",8.05,3.2,100,"I",0.4,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TOV",0,0.2,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
"_133","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483644,"False",NA,1,687,"L",84.9,21.4,80,"C",12,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR_SL",3,3.2,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_133","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483643,"False",NA,1,688,"L",75.8,23.6,90,"C",11.2,NA,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",0.4,3,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_130","PreBurnYear1","8/19/2020 5:07:02 PM",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0.04,0.04,7.6,NA,NA,"D. to Plant","D. to CWD",NA,"neighbor","","True",NA
"_130","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483648,"False",NA,1,637,"L",30.4,15.8,60,"C",7.2,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWI_SL",1.2,2.8,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_130","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483647,"False",NA,1,638,"L",51.2,22.2,90,"C",7.6,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",0.1,3,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_130","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483646,"False",NA,1,648,"L",45.8,19.6,90,"C",7.4,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEBE_SM",0,3,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_130","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483645,"False",NA,1,640,"L",45.9,20.8,100,"C",11.4,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSA",2,3,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_130","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483644,"False",NA,1,641,"L",56.9,24.6,100,"C",12.4,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0.2,1.5,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_130","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483643,"False",NA,1,642,"D",80.3,27,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0.3,1,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_130","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483642,"False",NA,1,643,"L",23.2,11.4,80,"I",4.2,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",1,3.1,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_130","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483641,"False",NA,1,644,"L",22.8,8,90,"I",0.4,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TOV",0.8,1.3,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
"_130","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483640,"False",NA,1,645,"L",29.5,9.5,90,"I",1.5,NA,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TOV",0.8,1.5,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
"_130","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483639,"False",NA,1,646,"L",29.6,14.5,90,"C",2,NA,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TOV",0,1.5,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
"_130","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483638,"False",NA,1,647,"L",15,33,90,"I",2,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TOV",0,0.8,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
"_130","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483637,"False",NA,1,649,"L",45.4,20.6,80,"C",6.8,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",1.9,3.1,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_128","PreBurnYear1","8/19/2020 5:07:02 PM",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0.04,0.04,7.6,NA,NA,"D. to Plant","D. to CWD",NA,"neighbor","","True",NA
"_128","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483648,"False",NA,1,652,"L",64.3,22.6,90,"C",11.6,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEBE_ST",1,2.3,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_128","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483647,"False",NA,1,653,"L",53.4,22.4,80,"C",10.2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSA",0.1,4,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_128","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483646,"False",NA,1,655,"L",39.9,21.6,70,"C",13.6,NA,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSA",0.5,4.5,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_128","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483645,"False",NA,1,657,"L",63.7,20.8,90,"C",10.6,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SM",0.4,0,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_128","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483644,"False",NA,1,663,"D",41.7,1.8,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SM",0.1,1.3,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
"_128","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483643,"False",NA,1,664,"D",51.1,3.7,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0,1,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
