"MacroPlot.Name","Monitoring.Status","Date","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","UV2","SnagPlotSize","BrkPntDia","Species.Symbol","X"
"_145","PreBurnYear1","8/19/2020 8:54:15 AM",558,"D",14.95,5.6,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PIJE",NA
"_145","PreBurnYear1","8/19/2020 8:54:15 AM",562,"L",63.75,23,70,"C",15,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TOV",0.3,2,NA,NA,"PIJE",NA
"_145","PreBurnYear1","8/19/2020 8:54:15 AM",563,"L",20.45,10.2,20,"S",6.2,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSA",0.3,4,NA,NA,"PIJE",NA
"_145","PreBurnYear1","8/19/2020 8:54:15 AM",565,"L",8.5,5.5,100,"S",0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSA",0.8,4.5,NA,NA,"QUKE",NA
"_142","PreBurnYear1","8/19/2020 8:54:15 AM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.04,7.6,"",NA
"_142","PreBurnYear1","8/19/2020 8:54:15 AM",570,"L",7.65,5.9,100,"S",0.4,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSA",0.4,1.5,NA,NA,"QUKE",NA
"_142","PreBurnYear1","8/19/2020 8:54:15 AM",571,"L",47.9,10.8,90,"I",1.4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSA",0.5,0,NA,NA,"QUKE",NA
"_142","PreBurnYear1","8/19/2020 8:54:15 AM",574,"L",18.05,8,20,"S",4.2,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0.2,0.6,NA,NA,"PIJE",NA
"_142","PreBurnYear1","8/19/2020 8:54:15 AM",575,"L",72.75,27.4,90,"C",12.2,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0.2,3,NA,NA,"PIJE",NA
"_142","PreBurnYear1","8/19/2020 8:54:15 AM",576,"L",9.6,6.4,100,"I",0.6,NA,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",0.4,3.5,NA,NA,"QUKE",NA
"_142","PreBurnYear1","8/19/2020 8:54:15 AM",577,"L",23.75,11.2,80,"I",4.2,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TOV",0.8,4,NA,NA,"PIJE",NA
"_142","PreBurnYear1","8/19/2020 8:54:15 AM",582,"L",28.9,8.8,80,"S",4,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TOV",0.3,4,NA,NA,"PIJE",NA
"_142","PreBurnYear1","8/19/2020 8:54:15 AM",583,"L",56.05,19.9,90,"C",8.8,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TOV",0.3,4.8,NA,NA,"PIJE",NA
"_143","PreBurnYear1","8/19/2020 8:54:15 AM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.04,7.6,"",NA
"_143","PreBurnYear1","8/19/2020 8:54:15 AM",533,"D",53.6,11.2,NA,"",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE",NA
"_143","PreBurnYear1","8/19/2020 8:54:15 AM",534,"D",52.85,6.4,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PIJE",NA
"_143","PreBurnYear1","8/19/2020 8:54:15 AM",535,"L",44.25,10.2,90,"I",0.8,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TOV",0.4,0.5,NA,NA,"QUKE",NA
"_143","PreBurnYear1","8/19/2020 8:54:15 AM",536,"L",48.65,9.2,80,"I",1.8,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TOV",0.4,0.5,NA,NA,"QUKE",NA
